r\c	0.0	50.0	100.0	150.0	200.0	250.0	300.0	350.0	400.0	450.0	500.0	550.0	600.0	650.0	700.0	750.0	800.0	850.0	900.0	950.0	1000.0
5.0E-6	280.34081415143976	70.81469134421874	23.922362208218757	11.296882098201511	7.863087617038797	5.797119175792507	4.656397457460952	3.1100963210568326	2.3417679051863507	2.0776090890999863	1.5603355531000958	2.638555878432548	1.1676143179513576	1.0451018724632521	1.0471882893184006	1.0238237462055702	1.0115959507700705	0.8148906207772966	2.902068121791514	0.8566596111452808	NaN
0.999995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	63871.03801101348	Infinity	14113.823015614846	6586.450740620263	8207.920633364383	3258.748766744922	2171.357387017669	3258.748766744922	231.27692449453184	489.88670905058484	298.3369383758111	90.89179092004787	68.04127475096712	45.328962622713455	NaN
1.0E-5	280.34081415143976	70.81469134421874	23.922362208218757	11.296882098201511	7.863087617038797	5.797119175792507	4.656397457460952	3.1100963210568326	2.3417679051863507	2.0776090890999863	1.5603355531000958	2.638555878432548	1.1676143179513576	1.0451018724632521	1.0471882893184006	1.0238237462055702	1.0115959507700705	0.8148906207772966	2.902068121791514	0.8566596111452808	NaN
0.99999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	63871.03801101348	Infinity	14113.823015614846	6586.450740620263	8207.920633364383	3258.748766744922	2171.357387017669	3258.748766744922	231.27692449453184	489.88670905058484	298.3369383758111	90.89179092004787	68.04127475096712	45.328962622713455	NaN
5.0E-5	280.34081415143976	70.81469134421874	23.922362208218757	11.296882098201511	7.863087617038797	5.797119175792507	4.656397457460952	3.1100963210568326	2.3417679051863507	2.0776090890999863	1.5603355531000958	2.638555878432548	1.1676143179513576	1.0451018724632521	1.0471882893184006	1.0238237462055702	1.0115959507700705	0.8148906207772966	2.902068121791514	0.8566596111452808	NaN
0.99995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	63871.03801101348	Infinity	14113.823015614846	6586.450740620263	8207.920633364383	3258.748766744922	2171.357387017669	3258.748766744922	231.27692449453184	489.88670905058484	298.3369383758111	90.89179092004787	68.04127475096712	45.328962622713455	NaN
1.0E-4	280.34081415143976	70.81469134421874	23.922362208218757	11.296882098201511	7.863087617038797	5.797119175792507	4.656397457460952	3.1100963210568326	2.3417679051863507	2.0776090890999863	1.5603355531000958	2.638555878432548	1.1676143179513576	1.0451018724632521	1.0471882893184006	1.0238237462055702	1.0115959507700705	0.8148906207772966	2.902068121791514	0.8566596111452808	NaN
0.9999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	63871.03801101348	Infinity	14113.823015614846	6586.450740620263	8207.920633364383	3258.748766744922	2171.357387017669	3258.748766744922	231.27692449453184	489.88670905058484	298.3369383758111	90.89179092004787	68.04127475096712	45.328962622713455	NaN
5.0E-4	280.34081415143976	70.81469134421874	23.922362208218757	11.296882098201511	7.863087617038797	5.797119175792507	4.656397457460952	3.1100963210568326	2.3417679051863507	2.0776090890999863	1.5603355531000958	2.638555878432548	1.1676143179513576	1.0451018724632521	1.0471882893184006	1.0238237462055702	1.0115959507700705	0.8148906207772966	2.902068121791514	0.8566596111452808	NaN
0.9995	Infinity	Infinity	Infinity	2.4258490029314473E7	63871.03801101348	Infinity	39518.704443721566	Infinity	14113.823015614846	6586.450740620263	8207.920633364383	3258.748766744922	2171.357387017669	3258.748766744922	231.27692449453184	489.88670905058484	298.3369383758111	90.89179092004787	68.04127475096712	45.328962622713455	NaN
0.001	280.34081415143976	70.81469134421874	23.922362208218757	11.685218479661284	7.863087617038797	5.984700879456057	4.68198146525428	3.1100963210568326	2.3417679051863507	2.0776090890999863	1.5603355531000958	2.638555878432548	1.1676143179513576	1.0451018724632521	1.0471882893184006	1.0238237462055702	1.0115959507700705	0.8148906207772966	2.902068121791514	0.8566596111452808	NaN
0.999	Infinity	Infinity	Infinity	790374.0888744316	51952.59325630533	79037.40888744315	2805.3457024672807	22582.116824983754	6586.450740620263	6586.450740620263	8207.920633364383	3258.748766744922	2171.357387017669	3258.748766744922	231.27692449453184	489.88670905058484	298.3369383758111	90.89179092004787	68.04127475096712	45.328962622713455	NaN
0.005	280.34081415143976	71.55994548454865	35.025296790350595	15.979725652216942	10.719434753687128	5.984700879456057	5.080323476299616	3.9991307747815643	3.591120759432148	2.873470014754022	2.082260181069471	2.640266409953458	1.1676143179513576	1.0451018724632521	1.0471882893184006	1.0238237462055702	1.0115959507700705	1.1136975361687798	2.902068121791514	0.8566596111452808	NaN
0.995	Infinity	Infinity	Infinity	39518.704443721566	7178.1615432310855	1945.3734060952443	1048.9753183668959	1178.5599372483896	2318.017421277072	5838.7247579569075	1658.2887501306693	442.76458555521646	749.8434481481186	489.292103098029	231.27692449453184	489.88670905058484	298.3369383758111	90.89179092004787	68.04127475096712	45.328962622713455	NaN
0.01	1962.2951044287643	92.10711766982081	42.73474872431726	19.774139592987872	11.855063976259778	6.818952697771009	5.364307669851999	4.0425049512202795	3.932432480962264	3.2097459076920054	2.3551072749268975	2.667251834677109	1.4929253902934578	1.060257634199334	1.282192357197108	1.59019020325161	3.0632999683479856	2.2075560195578703	3.830823271720673	0.8566596111452808	NaN
