r\c	0.0	50.0	100.0	150.0	200.0	250.0	300.0	350.0	400.0	450.0	500.0	550.0	600.0	650.0	700.0	750.0	800.0	850.0	900.0	950.0	1000.0
0.999	Infinity	Infinity	Infinity	Infinity	1.646507796256615E9	6.756490289998722E9	5225799.840966708	3.21737632857082E8	2.6811469404756837E7	2.6811469404756837E7	3.997231489330392E7	7030369.06915037	3374870.274724637	7030369.06915037	22049.819502757764	98107.46688313263	43255.060808876166	4906.458621134962	2571.709527568572	1301.4105901564678	NaN
0.005	420939.52137118974	447.79364243350403	148.48366106145355	74.93202319052385	24.533301266333616	12.44811993575668	10.414140615618656	4.997132503787811	3.207973064578803	1.9952552879394758	3.48700272364419	5.093200350302159	0.7943743966546398	0.7116978389830031	0.6991207142059404	1.990274682187346	1.9527286611422252	2.133848528456645	13.825786819240204	1.4595872358285435	NaN
0.995	Infinity	Infinity	Infinity	3.614116064318574E8	1.812083177473233E7	1159452.5915391243	468260.12420185003	1100978.520315142	1486052.184454511	2.087169793007676E7	883515.3844315548	142093.4522347564	177881.7511928418	97933.8436239699	22049.819502757764	98107.46688313263	43255.060808876166	4906.458621134962	2571.709527568572	1301.4105901564678	NaN
0.01	438851.63084112154	886.268865602165	297.40719792206886	125.79411060582528	30.170596797441913	12.44811993575668	12.292142245333821	6.318650639946572	6.246257221040867	6.604452428796673	4.185262112470113	18.903850195212865	2.6267470657597602	0.7208528206072726	2.5127857830040554	3.171410221934312	15.7698111331694	17.280547887500905	17.123193635552923	1.4595872358285435	NaN
0.99	Infinity	Infinity	2.309824942213978E9	3.727442722044172E7	9011204.288757756	790211.4684793989	327506.3436125448	269158.5588892009	469381.7011467984	1411154.0077049758	97760.57574542362	78434.84305246729	149908.71916195037	97933.8436239699	15137.649310602863	98107.46688313263	43255.060808876166	3019.3300384581075	1521.4948607190117	1301.4105901564678	NaN
0.025	1.031726236136476E7	45030.538124993065	7466.732546355901	1112.3920145008974	90.62095424763457	32.22579930371038	31.688499726151537	16.409590492211986	28.71545905343589	12.11933866098828	5.516845022030314	22.784618827786435	3.954855313845531	2.2577007908969127	2.706567381393848	18.076500443563162	39.79802055219361	59.07760392423424	57.27966774132965	7.202793198025324	NaN
0.975	Infinity	Infinity	3.831734395040281E8	1.0684012098395329E7	2660432.4715874563	569334.3438412695	224492.7534766086	106320.90279927025	56160.10695191207	88623.24197640711	35453.87760730702	14781.144297365807	96104.73031977682	58799.810461227265	8590.767811296146	98107.46688313263	17217.51172220148	2497.3882217860187	1215.5164780936957	1065.4781172650896	NaN
0.05	2.0634583271739133E7	96311.93033607204	19961.464731816053	6562.125772720806	519.1023638043358	79.1266394876281	77.3906571874087	56.78355582020562	36.52613284362336	32.19853590111141	13.623207574437506	36.451135113188556	86.32790385387675	17.134829092522658	15.466760842851695	58.39592351312193	63.89947403406358	316.7732168862837	112.23863113082912	10.434672667807396	NaN
0.95	Infinity	7.461338861522812E11	1.492337877567648E8	5733065.640302425	2007380.6006578917	424470.94186898426	153073.59561087267	75534.85297779091	42686.851678431085	30991.681295674407	19957.039307569998	9938.346266968174	30683.56956661004	11086.445896334251	4896.495429310549	4386.646782562362	6972.557477763501	1339.0455628539264	1043.8123747277818	824.94512761694	NaN
0.1	6.411063342019296E7	160760.60109221595	65583.36167562914	23929.077773013723	3835.9418565141746	2213.7628741120116	1201.609470613401	731.7389397982795	201.22781692363097	213.89132915052045	35.2114890714251	239.82920743059776	230.0586993403654	203.1141138856632	90.44548529608151	162.9203820720345	241.49020622760344	668.7498950091258	259.1332822436248	206.8966626408923	NaN
0.9	Infinity	5.296311125777327E10	5.1825796186004475E7	2657453.256452186	1104945.9839174394	286848.7603383813	102242.17953399019	55824.136196943735	32860.226339088775	22043.71412901589	14293.43536163561	8462.715530135296	7113.906768442909	5039.055108937922	3930.116604271843	2859.122853233399	2471.0696564084938	1129.2053249110802	934.1953343413876	726.0398243412311	NaN
0.5	Infinity	2.6022391620876927E7	2004058.1018515355	467141.6833856177	196161.5290533859	91686.30041267627	47672.392609403265	26144.43771007324	15846.81525287377	9682.37656644884	6910.573303503116	5730.082516618005	4050.9791703141377	2668.133351901315	2130.1302524809166	1641.5009199989358	1107.034517767851	799.0273775366582	643.6228567160748	537.7478885003734	NaN
