r\c	0.0	25.0	50.0	75.0	100.0	125.0	150.0	175.0	200.0	225.0	250.0	275.0	300.0	325.0	350.0	375.0	400.0	425.0	450.0	475.0	500.0	525.0	550.0	575.0	600.0	625.0	650.0	675.0	700.0	725.0	750.0	775.0	800.0	825.0	850.0	875.0	900.0	925.0	950.0	975.0	1000.0
5.0E-6	1057706.2167231424	280.34081415143976	140.89500971462058	70.81469134421874	46.77652957406028	23.922362208218757	13.426711733551585	11.296882098201511	11.748605630335453	7.863087617038797	7.501030706229782	5.797119175792507	4.656397457460952	4.68198146525428	3.9991307747815643	3.1100963210568326	2.742132290959101	2.3417679051863507	2.0776090890999863	2.4090850153041394	1.7348783745953713	1.5603355531000958	2.638555878432548	2.640266409953458	1.4929253902934578	1.1676143179513576	1.0451018724632521	1.060257634199334	1.0471882893184006	1.282192357197108	1.0238237462055702	1.59019020325161	1.0115959507700705	4.7335096016622025	1.1136975361687798	0.8148906207772966	2.902068121791514	3.830823271720673	0.8566596111452808	9.533909879092247	NaN
0.999995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	790374.0888744316	Infinity	32704.093828768502	Infinity	79037.40888744315	2805.3457024672807	63871.03801101348	2780.4006706395917	Infinity	6586.450740620263	14113.823015614846	6586.450740620263	5838.7247579569075	8207.920633364383	6586.450740620263	157.76118464494363	3258.748766744922	2171.357387017669	662.57650293227	3258.748766744922	341.06402207998957	174.6716738510274	231.27692449453184	88.39303055795286	489.88670905058484	209.06705896989075	298.3369383758111	90.89179092004787	46.43745381283643	68.04127475096712	40.377481620302326	28.55981789704179	45.328962622713455	NaN
1.0E-5	1057706.2167231424	280.34081415143976	140.89500971462058	70.81469134421874	46.77652957406028	23.922362208218757	13.426711733551585	11.296882098201511	11.748605630335453	7.863087617038797	7.501030706229782	5.797119175792507	4.656397457460952	4.68198146525428	3.9991307747815643	3.1100963210568326	2.742132290959101	2.3417679051863507	2.0776090890999863	2.4090850153041394	1.7348783745953713	1.5603355531000958	2.638555878432548	2.640266409953458	1.4929253902934578	1.1676143179513576	1.0451018724632521	1.060257634199334	1.0471882893184006	1.282192357197108	1.0238237462055702	1.59019020325161	1.0115959507700705	4.7335096016622025	1.1136975361687798	0.8148906207772966	2.902068121791514	3.830823271720673	0.8566596111452808	9.533909879092247	NaN
0.99999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	790374.0888744316	Infinity	32704.093828768502	Infinity	79037.40888744315	2805.3457024672807	63871.03801101348	2780.4006706395917	Infinity	6586.450740620263	14113.823015614846	6586.450740620263	5838.7247579569075	8207.920633364383	6586.450740620263	157.76118464494363	3258.748766744922	2171.357387017669	662.57650293227	3258.748766744922	341.06402207998957	174.6716738510274	231.27692449453184	88.39303055795286	489.88670905058484	209.06705896989075	298.3369383758111	90.89179092004787	46.43745381283643	68.04127475096712	40.377481620302326	28.55981789704179	45.328962622713455	NaN
5.0E-5	1057706.2167231424	280.34081415143976	140.89500971462058	70.81469134421874	46.77652957406028	23.922362208218757	13.426711733551585	11.296882098201511	11.748605630335453	7.863087617038797	7.501030706229782	5.797119175792507	4.656397457460952	4.68198146525428	3.9991307747815643	3.1100963210568326	2.742132290959101	2.3417679051863507	2.0776090890999863	2.4090850153041394	1.7348783745953713	1.5603355531000958	2.638555878432548	2.640266409953458	1.4929253902934578	1.1676143179513576	1.0451018724632521	1.060257634199334	1.0471882893184006	1.282192357197108	1.0238237462055702	1.59019020325161	1.0115959507700705	4.7335096016622025	1.1136975361687798	0.8148906207772966	2.902068121791514	3.830823271720673	0.8566596111452808	9.533909879092247	NaN
0.99995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	790374.0888744316	Infinity	32704.093828768502	Infinity	79037.40888744315	2805.3457024672807	63871.03801101348	2780.4006706395917	Infinity	6586.450740620263	14113.823015614846	6586.450740620263	5838.7247579569075	8207.920633364383	6586.450740620263	157.76118464494363	3258.748766744922	2171.357387017669	662.57650293227	3258.748766744922	341.06402207998957	174.6716738510274	231.27692449453184	88.39303055795286	489.88670905058484	209.06705896989075	298.3369383758111	90.89179092004787	46.43745381283643	68.04127475096712	40.377481620302326	28.55981789704179	45.328962622713455	NaN
1.0E-4	1057706.2167231424	280.34081415143976	140.89500971462058	70.81469134421874	46.77652957406028	23.922362208218757	13.426711733551585	11.296882098201511	11.748605630335453	7.863087617038797	7.501030706229782	5.797119175792507	4.656397457460952	4.68198146525428	3.9991307747815643	3.1100963210568326	2.742132290959101	2.3417679051863507	2.0776090890999863	2.4090850153041394	1.7348783745953713	1.5603355531000958	2.638555878432548	2.640266409953458	1.4929253902934578	1.1676143179513576	1.0451018724632521	1.060257634199334	1.0471882893184006	1.282192357197108	1.0238237462055702	1.59019020325161	1.0115959507700705	4.7335096016622025	1.1136975361687798	0.8148906207772966	2.902068121791514	3.830823271720673	0.8566596111452808	9.533909879092247	NaN
0.9999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	790374.0888744316	Infinity	32704.093828768502	Infinity	79037.40888744315	2805.3457024672807	63871.03801101348	2780.4006706395917	Infinity	6586.450740620263	14113.823015614846	6586.450740620263	5838.7247579569075	8207.920633364383	6586.450740620263	157.76118464494363	3258.748766744922	2171.357387017669	662.57650293227	3258.748766744922	341.06402207998957	174.6716738510274	231.27692449453184	88.39303055795286	489.88670905058484	209.06705896989075	298.3369383758111	90.89179092004787	46.43745381283643	68.04127475096712	40.377481620302326	28.55981789704179	45.328962622713455	NaN
5.0E-4	1057706.2167231424	280.34081415143976	140.89500971462058	70.81469134421874	46.77652957406028	23.922362208218757	13.426711733551585	11.296882098201511	11.748605630335453	7.863087617038797	7.501030706229782	5.797119175792507	4.656397457460952	4.68198146525428	3.9991307747815643	3.1100963210568326	2.742132290959101	2.3417679051863507	2.0776090890999863	2.4090850153041394	1.7348783745953713	1.5603355531000958	2.638555878432548	2.640266409953458	1.4929253902934578	1.1676143179513576	1.0451018724632521	1.060257634199334	1.0471882893184006	1.282192357197108	1.0238237462055702	1.59019020325161	1.0115959507700705	4.7335096016622025	1.1136975361687798	0.8148906207772966	2.902068121791514	3.830823271720673	0.8566596111452808	9.533909879092247	NaN
