r\c	0.0	50.0	100.0	150.0	200.0	250.0	300.0	350.0	400.0	450.0	500.0	550.0	600.0	650.0	700.0	750.0	800.0	850.0	900.0	950.0	1000.0	1050.0	1100.0	1150.0	1200.0	1250.0	1300.0	1350.0	1400.0	1450.0	1500.0	1550.0	1600.0	1650.0	1700.0	1750.0	1800.0	1850.0	1900.0	1950.0	2000.0	2050.0	2100.0	2150.0	2200.0	2250.0	2300.0	2350.0	2400.0	2450.0	2500.0	2550.0	2600.0	2650.0	2700.0	2750.0	2800.0	2850.0	2900.0	2950.0	3000.0
5.0E-6	416684.78125	191.74143981933594	51.603790283203125	17.61902618408203	10.746162414550781	5.55082368850708	3.622421979904175	2.4630072116851807	1.7018840312957764	1.1502013206481934	0.7081344127655029	0.5605397820472717	0.31145063042640686	0.24927791953086853	0.2038092464208603	0.18033772706985474	0.17855381965637207	0.17320775985717773	0.08963336795568466	0.1232747808098793	0.10781576484441757	0.07580270618200302	0.05087132006883621	0.07675131410360336	0.06116294115781784	0.05879504606127739	0.03159624710679054	0.0446159690618515	0.04017628729343414	0.042184583842754364	0.03663510084152222	0.03373056650161743	0.026914263144135475	0.026682114228606224	0.024518383666872978	0.021625304594635963	0.019859451800584793	0.018665185198187828	0.01670798659324646	0.01666007563471794	0.01703348197042942	0.013717037625610828	0.016853172332048416	0.021883152425289154	0.01839269883930683	0.027966074645519257	0.010875577107071877	0.01700308918952942	0.017982859164476395	0.020969754084944725	0.008107052184641361	0.014970249496400356	0.007121764589101076	0.013673653826117516	0.013058865442872047	0.006034133490175009	0.0052391644567251205	0.010827377438545227	0.004879491403698921	0.004557350650429726	NaN
0.999995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	1.49221163008E11	1.9707067367424E13	2.131222016E9	4.273227782160384E15	7.409992466432E12	2.441844331905024E15	Infinity	9.35236040916992E14	Infinity	Infinity	Infinity	6.1555441926144E13	2.46747834089472E14	Infinity	3.6598072E7	Infinity	8.6302192041984E13	1.7213739008E10	Infinity	1440044.875	Infinity	3.624946106368E13	2.9018850066432E13	Infinity	20652.306640625	Infinity	1.428356071424E13	5.82976384E8	Infinity	66423.828125	9.098047258624E12	Infinity	9731.8203125	Infinity	144564.28125	2638.380126953125	Infinity	85600.25	Infinity	20799.8671875	8.3565248E7	Infinity	400175.375	Infinity	883515.375	18034.712890625	Infinity	1054.78662109375	Infinity	235.02867126464844	15781.625	Infinity	260.6775817871094	NaN
1.0E-5	416684.78125	191.74143981933594	51.603790283203125	21.922510147094727	10.900550842285156	6.685889720916748	3.936044454574585	2.684739112854004	1.8649455308914185	1.2095632553100586	0.8097174763679504	0.6613420844078064	0.4011754095554352	0.24927791953086853	0.2049340009689331	0.19454219937324524	0.21638816595077515	0.17320775985717773	0.08963336795568466	0.1232747808098793	0.10781576484441757	0.07580270618200302	0.05087132006883621	0.07675131410360336	0.06116294115781784	0.05879504606127739	0.03159624710679054	0.0446159690618515	0.04017628729343414	0.042184583842754364	0.03663510084152222	0.03373056650161743	0.026914263144135475	0.026682114228606224	0.024518383666872978	0.021625304594635963	0.019859451800584793	0.018665185198187828	0.01670798659324646	0.01666007563471794	0.01703348197042942	0.013717037625610828	0.016853172332048416	0.021883152425289154	0.01839269883930683	0.027966074645519257	0.010875577107071877	0.01700308918952942	0.017982859164476395	0.020969754084944725	0.008107052184641361	0.014970249496400356	0.007121764589101076	0.013673653826117516	0.013058865442872047	0.006034133490175009	0.0052391644567251205	0.010827377438545227	0.004879491403698921	0.004557350650429726	NaN
0.99999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	2.70013825024E12	1.126081664E9	1.210568192E9	5.5985856E8	1.126081664E9	1.8427035648E10	1.126081664E9	2.76520866152448E14	1.1544752128E10	Infinity	Infinity	Infinity	6.1555441926144E13	2.46747834089472E14	6.735536E7	3.6598072E7	Infinity	8.6302192041984E13	1.7213739008E10	Infinity	1440044.875	Infinity	3.624946106368E13	2.9018850066432E13	Infinity	20652.306640625	Infinity	1.428356071424E13	5.82976384E8	Infinity	66423.828125	9.098047258624E12	Infinity	9731.8203125	Infinity	144564.28125	2638.380126953125	Infinity	85600.25	Infinity	20799.8671875	8.3565248E7	Infinity	400175.375	Infinity	883515.375	18034.712890625	Infinity	1054.78662109375	Infinity	235.02867126464844	15781.625	Infinity	260.6775817871094	NaN
5.0E-5	416684.78125	191.74143981933594	63.94398880004883	27.202543258666992	13.814748764038086	8.286262512207031	4.621706485748291	3.1249868869781494	2.186384439468384	1.3890361785888672	1.010858178138733	0.7792370915412903	0.5337953567504883	0.3536701500415802	0.22403974831104279	0.23701059818267822	0.2292136698961258	0.19196486473083496	0.14977583289146423	0.13179440796375275	0.11254307627677917	0.09275990724563599	0.08117223531007767	0.07675131410360336	0.06116294115781784	0.05879504606127739	0.03159624710679054	0.0446159690618515	0.04017628729343414	0.042184583842754364	0.03663510084152222	0.03373056650161743	0.026914263144135475	0.026682114228606224	0.024518383666872978	0.021625304594635963	0.019859451800584793	0.018665185198187828	0.01670798659324646	0.01666007563471794	0.01703348197042942	0.013717037625610828	0.016853172332048416	0.021883152425289154	0.01839269883930683	0.027966074645519257	0.010875577107071877	0.01700308918952942	0.017982859164476395	0.020969754084944725	0.008107052184641361	0.014970249496400356	0.007121764589101076	0.013673653826117516	0.013058865442872047	0.006034133490175009	0.0052391644567251205	0.010827377438545227	0.004879491403698921	0.004557350650429726	NaN
0.99995	Infinity	Infinity	Infinity	Infinity	2.484431080128512E15	1.6123641856E10	1.126081664E9	1.11563392E8	1.8345698E7	1.4514193E7	2.4573674E7	2.5885538E7	2.5885538E7	5.362294E7	1.0393671E7	2.681147E7	1.4247276544E10	1.8269112E7	1.13012152E8	9.784332288E9	2.566063E7	1546815.5	2.681147E7	8530922.0	1.7213739008E10	5.8411853021184E13	1440044.875	5.4878016E8	3.624946106368E13	2.9018850066432E13	2.60577427456E13	20652.306640625	Infinity	1.428356071424E13	5.82976384E8	Infinity	66423.828125	9.098047258624E12	Infinity	9731.8203125	Infinity	144564.28125	2638.380126953125	Infinity	85600.25	Infinity	20799.8671875	8.3565248E7	Infinity	400175.375	Infinity	883515.375	18034.712890625	Infinity	1054.78662109375	Infinity	235.02867126464844	15781.625	Infinity	260.6775817871094	NaN
1.0E-4	416684.78125	192.26528930664062	70.44417572021484	32.336483001708984	15.987043380737305	9.229442596435547	5.354551315307617	3.4460220336914062	2.3455135822296143	1.6000392436981201	1.0793650150299072	0.803597092628479	0.5393288731575012	0.43055036664009094	0.28614509105682373	0.26886430382728577	0.23789429664611816	0.19219093024730682	0.15836481750011444	0.14377745985984802	0.11322974413633347	0.09288410097360611	0.0827261209487915	0.07989916205406189	0.06686307489871979	0.06118320673704147	0.04892127215862274	0.0446159690618515	0.04017628729343414	0.042184583842754364	0.03663510084152222	0.03373056650161743	0.026914263144135475	0.026682114228606224	0.024518383666872978	0.021625304594635963	0.019859451800584793	0.018665185198187828	0.01670798659324646	0.01666007563471794	0.01703348197042942	0.013717037625610828	0.016853172332048416	0.021883152425289154	0.01839269883930683	0.027966074645519257	0.010875577107071877	0.01700308918952942	0.017982859164476395	0.020969754084944725	0.008107052184641361	0.014970249496400356	0.007121764589101076	0.013673653826117516	0.013058865442872047	0.006034133490175009	0.0052391644567251205	0.010827377438545227	0.004879491403698921	0.004557350650429726	NaN
0.9999	Infinity	Infinity	Infinity	Infinity	6.8842889216E10	1.068848768E9	1.93161536E8	2.3747122E7	5508551.5	3235379.25	6193976.5	6856185.0	6193976.5	8093435.0	3339292.0	5249798.0	2.8975866E7	2600412.0	6813505.0	1.0534173E7	2841097.5	1429231.5	3522489.25	660895.8125	1.7213739008E10	5.8411853021184E13	1440044.875	5.4878016E8	6986296.5	2.33950848E9	2.60577427456E13	20652.306640625	1.9118837202944E13	1.428356071424E13	5.82976384E8	1.1867168702464E13	66423.828125	9.098047258624E12	Infinity	9731.8203125	Infinity	144564.28125	2638.380126953125	Infinity	85600.25	Infinity	20799.8671875	8.3565248E7	Infinity	400175.375	Infinity	883515.375	18034.712890625	Infinity	1054.78662109375	Infinity	235.02867126464844	15781.625	Infinity	260.6775817871094	NaN
5.0E-4	416684.78125	440.8306579589844	125.80144500732422	47.032039642333984	20.862049102783203	11.461260795593262	7.4381818771362305	4.955905437469482	3.0953142642974854	2.1180477142333984	1.4685028791427612	0.9588948488235474	0.7294937372207642	0.5343483686447144	0.40075698494911194	0.3420192003250122	0.266895592212677	0.21546822786331177	0.17987650632858276	0.15183785557746887	0.12613306939601898	0.10718146711587906	0.09794671088457108	0.08910719305276871	0.07855089753866196	0.06645964086055756	0.05958801880478859	0.0537380576133728	0.04450803995132446	0.046795863658189774	0.03865418955683708	0.03398909047245979	0.03412609547376633	0.02728169411420822	0.026570137590169907	0.021678347140550613	0.04531039670109749	0.029813937842845917	0.017777075991034508	0.017737552523612976	0.01703348197042942	0.013717037625610828	0.016853172332048416	0.021883152425289154	0.01839269883930683	0.027966074645519257	0.010875577107071877	0.01700308918952942	0.017982859164476395	0.020969754084944725	0.008107052184641361	0.014970249496400356	0.007121764589101076	0.013673653826117516	0.013058865442872047	0.006034133490175009	0.0052391644567251205	0.010827377438545227	0.004879491403698921	0.004557350650429726	NaN
