r\c	0.0	50.0	100.0	150.0	200.0	250.0	300.0	350.0	400.0	450.0	500.0	550.0	600.0	650.0	700.0	750.0	800.0	850.0	900.0	950.0	1000.0	1050.0	1100.0	1150.0	1200.0	1250.0	1300.0	1350.0	1400.0	1450.0	1500.0	1550.0	1600.0	1650.0	1700.0	1750.0	1800.0	1850.0	1900.0	1950.0	2000.0	2050.0	2100.0	2150.0	2200.0	2250.0	2300.0	2350.0	2400.0	2450.0	2500.0	2550.0	2600.0	2650.0	2700.0	2750.0	2800.0	2850.0	2900.0	2950.0	3000.0
5.0E-6	16.055648803710938	6.116452217102051	3.938746929168701	3.274101972579956	3.2626612186431885	2.915928363800049	2.578535318374634	2.3204944133758545	2.099972724914551	1.8954803943634033	1.6675418615341187	1.5043835639953613	1.3976207971572876	1.276148796081543	1.1256823539733887	1.0217171907424927	0.9666054844856262	1.0036895275115967	0.9559293985366821	0.8851505517959595	0.8095491528511047	0.8082745671272278	0.8073464632034302	0.7335560917854309	0.7370828986167908	0.7111530303955078	0.7229365110397339	0.6359294056892395	0.6130578517913818	0.6525081992149353	0.5719846487045288	0.5647738575935364	0.5613322854042053	0.539656400680542	0.5917017459869385	0.5224073529243469	0.4781568944454193	0.4667724668979645	0.4234609305858612	0.4441063106060028	0.49085110425949097	0.42090335488319397	0.4113817512989044	0.41416412591934204	0.41369473934173584	0.38625457882881165	0.3831002712249756	0.36659348011016846	0.358970046043396	0.41239815950393677	0.39334729313850403	0.4002688229084015	0.38883256912231445	0.3915851414203644	0.3780316412448883	0.3678145706653595	0.3083554208278656	0.35813525319099426	0.41062578558921814	0.3489522933959961	NaN
0.999995	Infinity	Infinity	Infinity	Infinity	Infinity	8694.65234375	294.7726745605469	116.13874816894531	76.32840728759766	52.83174133300781	88.68565368652344	90.24637603759766	414.03106689453125	2898.21728515625	347.78607177734375	1312.5921630859375	1449.108642578125	Infinity	99.09091186523438	271.7078857421875	Infinity	18.20842933654785	Infinity	222.93980407714844	218.76535034179688	Infinity	43.15544128417969	Infinity	189.01417541503906	181.13858032226562	Infinity	32.16893005371094	Infinity	291.6871337890625	14.531084060668945	Infinity	13.484710693359375	144.91087341308594	Infinity	6.69069766998291	Infinity	11.768335342407227	4.572729587554932	Infinity	7.70482873916626	Infinity	10.439556121826172	11.069975852966309	Infinity	12.48161792755127	Infinity	9.171439170837402	9.380401611328125	Infinity	23.054319381713867	Infinity	1.880367636680603	8.516366004943848	Infinity	2.5248348712921143	NaN
1.0E-5	16.055648803710938	6.116452217102051	4.435931205749512	3.7121617794036865	3.3105783462524414	3.041966438293457	2.6530673503875732	2.4000728130340576	2.188506603240967	1.9753400087356567	1.752990961074829	1.5522881746292114	1.410622000694275	1.314743161201477	1.1731995344161987	1.0217171907424927	1.012743592262268	1.0036895275115967	0.9559293985366821	0.8851505517959595	0.8095491528511047	0.8082745671272278	0.8073464632034302	0.7335560917854309	0.7370828986167908	0.7111530303955078	0.7229365110397339	0.6359294056892395	0.6130578517913818	0.6525081992149353	0.5719846487045288	0.5647738575935364	0.5613322854042053	0.539656400680542	0.5917017459869385	0.5224073529243469	0.4781568944454193	0.4667724668979645	0.4234609305858612	0.4441063106060028	0.49085110425949097	0.42090335488319397	0.4113817512989044	0.41416412591934204	0.41369473934173584	0.38625457882881165	0.3831002712249756	0.36659348011016846	0.358970046043396	0.41239815950393677	0.39334729313850403	0.4002688229084015	0.38883256912231445	0.3915851414203644	0.3780316412448883	0.3678145706653595	0.3083554208278656	0.35813525319099426	0.41062578558921814	0.3489522933959961	NaN
0.99999	Infinity	Infinity	Infinity	Infinity	Infinity	2016.3775634765625	116.14752960205078	64.96424102783203	45.50315856933594	36.958255767822266	50.67069625854492	54.1478271484375	135.36956787109375	378.0283508300781	136.3991241455078	1312.5921630859375	1449.108642578125	Infinity	99.09091186523438	271.7078857421875	54.1478271484375	18.20842933654785	Infinity	222.93980407714844	218.76535034179688	Infinity	43.15544128417969	Infinity	189.01417541503906	181.13858032226562	Infinity	32.16893005371094	Infinity	291.6871337890625	14.531084060668945	Infinity	13.484710693359375	144.91087341308594	Infinity	6.69069766998291	Infinity	11.768335342407227	4.572729587554932	Infinity	7.70482873916626	Infinity	10.439556121826172	11.069975852966309	Infinity	12.48161792755127	Infinity	9.171439170837402	9.380401611328125	Infinity	23.054319381713867	Infinity	1.880367636680603	8.516366004943848	Infinity	2.5248348712921143	NaN
5.0E-5	16.055648803710938	6.116452217102051	4.9022698402404785	4.164520740509033	3.801988124847412	3.2843964099884033	2.917820692062378	2.648522138595581	2.4022252559661865	2.2024691104888916	1.918017864227295	1.6831721067428589	1.5085151195526123	1.4099531173706055	1.2948744297027588	1.177258849143982	1.0988569259643555	1.0718499422073364	0.9957404136657715	0.9330687522888184	0.8766570091247559	0.83014315366745	0.8073464632034302	0.7335560917854309	0.7370828986167908	0.7111530303955078	0.7229365110397339	0.6359294056892395	0.6130578517913818	0.6525081992149353	0.5719846487045288	0.5647738575935364	0.5613322854042053	0.539656400680542	0.5917017459869385	0.5224073529243469	0.4781568944454193	0.4667724668979645	0.4234609305858612	0.4441063106060028	0.49085110425949097	0.42090335488319397	0.4113817512989044	0.41416412591934204	0.41369473934173584	0.38625457882881165	0.3831002712249756	0.36659348011016846	0.358970046043396	0.41239815950393677	0.39334729313850403	0.4002688229084015	0.38883256912231445	0.3915851414203644	0.3780316412448883	0.3678145706653595	0.3083554208278656	0.35813525319099426	0.41062578558921814	0.3489522933959961	NaN
0.99995	Infinity	Infinity	Infinity	4347.326171875	570.2135009765625	87.51448059082031	43.897640228271484	23.114486694335938	18.23470115661621	15.911812782287598	17.92227554321289	20.688228607177734	24.2547664642334	32.7716064453125	22.834693908691406	22.852519989013672	38.67701721191406	22.852519989013672	33.84239196777344	22.73301887512207	23.974563598632812	13.037473678588867	316.21368408203125	15.40965747833252	51.34048843383789	328.1480407714844	43.15544128417969	15.212515830993652	189.01417541503906	181.13858032226562	177.44187927246094	32.16893005371094	Infinity	291.6871337890625	14.531084060668945	Infinity	13.484710693359375	144.91087341308594	Infinity	6.69069766998291	Infinity	11.768335342407227	4.572729587554932	Infinity	7.70482873916626	Infinity	10.439556121826172	11.069975852966309	Infinity	12.48161792755127	Infinity	9.171439170837402	9.380401611328125	Infinity	23.054319381713867	Infinity	1.880367636680603	8.516366004943848	Infinity	2.5248348712921143	NaN
1.0E-4	16.055648803710938	6.116452217102051	5.082701683044434	4.369714736938477	3.9244072437286377	3.4644885063171387	3.0575673580169678	2.753350019454956	2.510972261428833	2.2710533142089844	1.9987586736679077	1.7864115238189697	1.6221402883529663	1.4635697603225708	1.311516284942627	1.2444685697555542	1.1105021238327026	1.1117241382598877	1.0529705286026	0.9811018109321594	0.9511098265647888	0.8310953974723816	0.8085946440696716	0.7806593775749207	0.7713673114776611	0.7226349115371704	0.7229365110397339	0.6359294056892395	0.6130578517913818	0.6525081992149353	0.5719846487045288	0.5647738575935364	0.5613322854042053	0.539656400680542	0.5917017459869385	0.5224073529243469	0.4781568944454193	0.4667724668979645	0.4234609305858612	0.4441063106060028	0.49085110425949097	0.42090335488319397	0.4113817512989044	0.41416412591934204	0.41369473934173584	0.38625457882881165	0.3831002712249756	0.36659348011016846	0.358970046043396	0.41239815950393677	0.39334729313850403	0.4002688229084015	0.38883256912231445	0.3915851414203644	0.3780316412448883	0.3678145706653595	0.3083554208278656	0.35813525319099426	0.41062578558921814	0.3489522933959961	NaN
0.9999	Infinity	Infinity	8694.65234375	1738.930419921875	136.68551635742188	45.984474182128906	30.009136199951172	18.84453582763672	15.056142807006836	13.695594787597656	13.680768966674805	15.265934944152832	15.13308334350586	16.720443725585938	15.40965747833252	17.92227554321289	21.03864860534668	15.212515830993652	22.066913604736328	22.655302047729492	15.787230491638184	11.522489547729492	14.531084060668945	13.484710693359375	46.672977447509766	207.01553344726562	24.54317283630371	15.212515830993652	10.16948127746582	17.240707397460938	177.44187927246094	32.16893005371094	167.20484924316406	291.6871337890625	14.531084060668945	152.53775024414062	13.484710693359375	144.91087341308594	Infinity	6.69069766998291	Infinity	11.768335342407227	4.572729587554932	Infinity	7.70482873916626	Infinity	10.439556121826172	11.069975852966309	Infinity	12.48161792755127	Infinity	9.171439170837402	9.380401611328125	Infinity	23.054319381713867	Infinity	1.880367636680603	8.516366004943848	Infinity	2.5248348712921143	NaN
5.0E-4	16.055648803710938	6.548203945159912	5.9502668380737305	5.155707359313965	4.412341594696045	3.8530795574188232	3.3794806003570557	3.0516440868377686	2.7340588569641113	2.467850685119629	2.1654531955718994	1.9639472961425781	1.7703267335891724	1.6377196311950684	1.5116724967956543	1.382003903388977	1.2575286626815796	1.2144604921340942	1.1321905851364136	1.0579205751419067	1.0247491598129272	0.9424921870231628	0.933637261390686	0.8349885940551758	0.8331172466278076	0.7867194414138794	0.7560632824897766	0.7214987277984619	0.6897039413452148	0.6808832883834839	0.7133579850196838	0.5710971355438232	0.6455848217010498	0.6439143419265747	0.5969143509864807	0.5670474767684937	0.4813312888145447	0.46858468651771545	0.5178553462028503	0.44412899017333984	0.5113390684127808	0.42090335488319397	0.4113817512989044	0.41416412591934204	0.41369473934173584	0.38625457882881165	0.3831002712249756	0.36659348011016846	0.358970046043396	0.41239815950393677	0.39334729313850403	0.4002688229084015	0.38883256912231445	0.3915851414203644	0.3780316412448883	0.3678145706653595	0.3083554208278656	0.35813525319099426	0.41062578558921814	0.3489522933959961	NaN
