r\c	0.0	50.0	100.0	150.0	200.0	250.0	300.0	350.0	400.0	450.0	500.0	550.0	600.0	650.0	700.0	750.0	800.0	850.0	900.0	950.0	1000.0
5.0E-6	16.235532698165482	9.744105754181145	6.4865328493613825	4.864899637021038	4.1257409747235885	3.4022848975621103	3.238511580800738	2.8759309811381235	2.428883685600554	2.301658368636855	2.1814958069543042	2.1321569756734235	1.9126479113060404	1.706136526069055	1.5409657320872268	1.5957467138012278	1.32082777036048	1.4277669774156856	1.3949117825090516	1.152354447321628	NaN
0.999995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	525.0368421052633	291.6871345029241	13.9356533100911	13.695595167577107	9.89754584569113	13.360225999868858	7.7568074739445745	13.139426336485434	12.925806173761108	5.927037051312814	12.965589148972349	5.625814866421005	3.782274549022568	4.572907642974945	NaN
1.0E-5	16.235532698165482	9.744105754181145	6.4865328493613825	4.864899637021038	4.1257409747235885	3.4022848975621103	3.238511580800738	2.8759309811381235	2.428883685600554	2.301658368636855	2.1814958069543042	2.1321569756734235	1.9126479113060404	1.706136526069055	1.5409657320872268	1.5957467138012278	1.32082777036048	1.4277669774156856	1.3949117825090516	1.152354447321628	NaN
0.99999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	525.0368421052633	291.6871345029241	13.9356533100911	13.695595167577107	9.89754584569113	13.360225999868858	7.7568074739445745	13.139426336485434	12.925806173761108	5.927037051312814	12.965589148972349	5.625814866421005	3.782274549022568	4.572907642974945	NaN
5.0E-5	16.235532698165482	9.744105754181145	6.4865328493613825	4.864899637021038	4.1257409747235885	3.4022848975621103	3.238511580800738	2.8759309811381235	2.428883685600554	2.301658368636855	2.1814958069543042	2.1321569756734235	1.9126479113060404	1.706136526069055	1.5409657320872268	1.5957467138012278	1.32082777036048	1.4277669774156856	1.3949117825090516	1.152354447321628	NaN
0.99995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	525.0368421052633	291.6871345029241	13.9356533100911	13.695595167577107	9.89754584569113	13.360225999868858	7.7568074739445745	13.139426336485434	12.925806173761108	5.927037051312814	12.965589148972349	5.625814866421005	3.782274549022568	4.572907642974945	NaN
1.0E-4	16.235532698165482	9.744105754181145	6.4865328493613825	4.864899637021038	4.1257409747235885	3.4022848975621103	3.238511580800738	2.8759309811381235	2.428883685600554	2.301658368636855	2.1814958069543042	2.1321569756734235	1.9126479113060404	1.706136526069055	1.5409657320872268	1.5957467138012278	1.32082777036048	1.4277669774156856	1.3949117825090516	1.152354447321628	NaN
0.9999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	525.0368421052633	291.6871345029241	13.9356533100911	13.695595167577107	9.89754584569113	13.360225999868858	7.7568074739445745	13.139426336485434	12.925806173761108	5.927037051312814	12.965589148972349	5.625814866421005	3.782274549022568	4.572907642974945	NaN
5.0E-4	16.235532698165482	9.744105754181145	6.4865328493613825	4.868473629496339	4.1257409747235885	3.4022848975621103	3.238511580800738	2.8759309811381235	2.428883685600554	2.301658368636855	2.1814958069543042	2.1321569756734235	1.9126479113060404	1.706136526069055	1.5409657320872268	1.5957467138012278	1.32082777036048	1.4277669774156856	1.3949117825090516	1.152354447321628	NaN
0.9995	Infinity	Infinity	Infinity	2625.1842105263167	525.0368421052633	Infinity	92.45794392523362	291.6871345029241	13.9356533100911	13.695595167577107	9.89754584569113	13.360225999868858	7.7568074739445745	13.139426336485434	12.925806173761108	5.927037051312814	12.965589148972349	5.625814866421005	3.782274549022568	4.572907642974945	NaN
0.001	16.235532698165482	9.744105754181145	6.492888170071408	5.673531143617476	4.786576421102981	3.603369764002671	3.3376776794010774	3.0623923844485583	2.428883685600554	2.301658368636855	2.1814958069543042	2.1321569756734235	1.9126479113060404	1.706136526069055	1.5409657320872268	1.5957467138012278	1.32082777036048	1.4277669774156856	1.3949117825090516	1.152354447321628	NaN
0.999	Infinity	Infinity	Infinity	1312.592105263158	437.53070175438603	262.51842105263165	17.05866960513576	91.48510174159836	13.9356533100911	13.695595167577107	9.89754584569113	13.360225999868858	7.7568074739445745	13.139426336485434	12.925806173761108	5.927037051312814	12.965589148972349	5.625814866421005	3.782274549022568	4.572907642974945	NaN
0.005	19.372881222590113	9.791422616507681	8.822539681706205	6.394723217230046	5.082505652311021	4.306801441705742	3.7820333324658106	3.1634829373842366	2.7173793969562423	2.422258305498055	2.2727790393679386	2.271629407954782	1.976458978301115	1.8891168010249475	1.8195077702714828	1.5957467138012278	1.396378263143176	1.4737678458099261	1.3949117825090516	1.152354447321628	NaN
0.995	Infinity	Infinity	2625.1842105263163	319.8431538936534	46.22897196261682	26.898678757341965	16.700343249080564	16.521867136915652	12.896221760083042	13.588573290811135	9.171438703967958	13.360225999868858	7.7568074739445745	13.139426336485434	12.925806173761108	5.927037051312814	12.965589148972349	5.625814866421005	3.782274549022568	4.572907642974945	NaN
0.01	19.516908736264657	10.556255328443255	9.07214451423025	6.538030737011031	5.270197083386862	4.415750541587118	3.864073639499701	3.240534644750841	2.9269789825270016	2.672030146722256	2.2751579413306056	2.271629407954782	2.015273233123532	1.8910429688014871	1.8812838655474613	1.651262664374876	1.5228315768394678	1.5073225530925844	1.4334095765722232	1.3778190082727242	NaN
0.99	Infinity	Infinity	875.0614035087722	45.98447511921463	22.386018688064414	17.09220404167657	14.115195412137531	13.994510832741133	11.40659212619022	11.557242990654206	7.70482866043614	13.360225999868858	7.6839781476318185	7.336003848985829	12.925806173761108	5.927037051312814	12.719020941765892	3.8817624619446334	3.2130509513924657	4.572907642974945	NaN
0.025	19.560816953828564	14.386819097936003	9.091116157471758	6.880741239282468	5.488476557061617	4.532969486382154	4.05421366614259	3.3192290752134426	3.02477195286612	2.7956174021679354	2.277541828471396	2.275567604954807	2.0611549839025707	1.932244185984271	2.0113483201334375	1.7124508665303155	1.5650502799750492	1.5620869528891175	1.6444318852264754	1.470465791511103	NaN
0.975	Infinity	1738.9304347826085	77.43236134138542	28.322349764889566	19.830222470768202	14.441933419661249	11.048852701971215	9.196895023842927	8.746020702186097	9.193860686688655	7.495269168229421	7.42526763642411	6.604138851802406	5.922999415730648	5.618543985964461	5.927037051312814	4.858729193818104	3.7811429247515007	2.9606846630778225	3.965058660879049	NaN
0.05	19.69373505295524	15.194225759016444	9.738879393635168	7.433979701349361	5.795948110570925	4.54555807873588	4.133471777406493	3.4268111349007815	3.121882680046819	2.917158621914234	2.5187085678486034	2.3692154865936015	2.143062849974289	1.9713896772690525	2.0496553544400498	1.7871029307460151	1.6478401959371651	1.6280213631060154	1.6849970632031954	1.499688607248812	NaN
0.95	8694.652173913044	795.0451675247228	36.512432138141826	21.62697743104687	17.1258705838862	14.322980113061709	9.767608359176698	7.706586645955864	7.258632180267023	7.896320842677632	6.940476844226936	5.598190871741985	5.281811365923279	4.831526524056865	4.14010947757368	4.52060942454504	4.484339328307245	3.1674493234737726	2.95364428192681	2.6189822077364457	NaN
0.1	38.26998014951799	17.908397384009223	10.49393152778955	8.019657757472348	6.049678499930834	4.768465133213797	4.3154886688922796	3.693406690714325	3.2349595257358787	3.060842033696702	2.8024244787697112	2.505386971109512	2.315629118785403	2.0143394535307606	2.103929901493925	1.9460338076765549	1.8684184015425533	1.8090740659454139	1.7851675403750686	1.58762534187487	NaN
