r\c	0.0	50.0	100.0	150.0	200.0	250.0	300.0	350.0	400.0	450.0	500.0	550.0	600.0	650.0	700.0	750.0	800.0	850.0	900.0	950.0	1000.0
5.0E-6	3294.3591990509954	9.66497430782874	3.214685721689019	1.0564797676567446	0.6525384207558504	0.3521180497115205	0.1761259412200953	0.431884276946119	0.34724827753390813	0.17521843217093988	0.14788298233810035	1.3643088300287658	0.17220718309019922	0.16715931062118133	0.1665433985422553	0.8480123191566947	0.8386287611382476	0.7635528689899811	4.91666530318932	0.6937757980789401	NaN
0.999995	Infinity	Infinity	Infinity	Infinity	6936534.111622327	Infinity	4871757.545940654	Infinity	1043948.0455587116	347982.68185290386	472416.93091957935	128174.81608730488	73003.35982928054	128174.81608730488	1793.82518080657	6364.6532042922045	3307.6368815076125	554.8623033085826	376.17971488623857	191.62079851615536	NaN
1.0E-5	3294.3591990509954	9.66497430782874	3.214685721689019	1.0564797676567446	0.6525384207558504	0.3521180497115205	0.1761259412200953	0.431884276946119	0.34724827753390813	0.17521843217093988	0.14788298233810035	1.3643088300287658	0.17220718309019922	0.16715931062118133	0.1665433985422553	0.8480123191566947	0.8386287611382476	0.7635528689899811	4.91666530318932	0.6937757980789401	NaN
0.99999	Infinity	Infinity	Infinity	Infinity	6936534.111622327	Infinity	4871757.545940654	Infinity	1043948.0455587116	347982.68185290386	472416.93091957935	128174.81608730488	73003.35982928054	128174.81608730488	1793.82518080657	6364.6532042922045	3307.6368815076125	554.8623033085826	376.17971488623857	191.62079851615536	NaN
5.0E-5	3294.3591990509954	9.66497430782874	3.214685721689019	1.0564797676567446	0.6525384207558504	0.3521180497115205	0.1761259412200953	0.431884276946119	0.34724827753390813	0.17521843217093988	0.14788298233810035	1.3643088300287658	0.17220718309019922	0.16715931062118133	0.1665433985422553	0.8480123191566947	0.8386287611382476	0.7635528689899811	4.91666530318932	0.6937757980789401	NaN
0.99995	Infinity	Infinity	Infinity	Infinity	6936534.111622327	Infinity	4871757.545940654	Infinity	1043948.0455587116	347982.68185290386	472416.93091957935	128174.81608730488	73003.35982928054	128174.81608730488	1793.82518080657	6364.6532042922045	3307.6368815076125	554.8623033085826	376.17971488623857	191.62079851615536	NaN
1.0E-4	3294.3591990509954	9.66497430782874	3.214685721689019	1.0564797676567446	0.6525384207558504	0.3521180497115205	0.1761259412200953	0.431884276946119	0.34724827753390813	0.17521843217093988	0.14788298233810035	1.3643088300287658	0.17220718309019922	0.16715931062118133	0.1665433985422553	0.8480123191566947	0.8386287611382476	0.7635528689899811	4.91666530318932	0.6937757980789401	NaN
0.9999	Infinity	Infinity	Infinity	Infinity	6936534.111622327	Infinity	4871757.545940654	Infinity	1043948.0455587116	347982.68185290386	472416.93091957935	128174.81608730488	73003.35982928054	128174.81608730488	1793.82518080657	6364.6532042922045	3307.6368815076125	554.8623033085826	376.17971488623857	191.62079851615536	NaN
5.0E-4	3294.3591990509954	9.66497430782874	3.214685721689019	1.0567502132386433	0.9762594346244483	0.3521180497115205	0.9639989339006532	0.431884276946119	0.34724827753390813	0.17521843217093988	0.14788298233810035	1.3643088300287658	0.17220718309019922	0.16715931062118133	0.1665433985422553	0.8480123191566947	0.8386287611382476	0.7635528689899811	4.91666530318932	0.6937757980789401	NaN
