r\c	0.0	100.0	200.0	300.0	400.0	500.0	600.0	700.0	800.0	900.0	1000.0
5.0E-6	443.1274973344775	47.83512803874408	9.946012214230405	4.280930081605602	1.673648279426942	1.0657938739450852	0.7116978389830031	0.6991207142059404	1.5376090709118613	1.4595872358285435	NaN
0.999995	Infinity	Infinity	Infinity	Infinity	1.2065161232140574E8	3.997231489330392E7	7030369.06915037	98107.46688313263	43255.060808876166	2571.709527568572	NaN
1.0E-5	443.1274973344775	47.83512803874408	9.946012214230405	4.280930081605602	1.673648279426942	1.0657938739450852	0.7116978389830031	0.6991207142059404	1.5376090709118613	1.4595872358285435	NaN
0.99999	Infinity	Infinity	Infinity	Infinity	1.2065161232140574E8	3.997231489330392E7	7030369.06915037	98107.46688313263	43255.060808876166	2571.709527568572	NaN
5.0E-5	443.1274973344775	47.83512803874408	9.946012214230405	4.280930081605602	1.673648279426942	1.0657938739450852	0.7116978389830031	0.6991207142059404	1.5376090709118613	1.4595872358285435	NaN
0.99995	Infinity	Infinity	Infinity	Infinity	1.2065161232140574E8	3.997231489330392E7	7030369.06915037	98107.46688313263	43255.060808876166	2571.709527568572	NaN
1.0E-4	443.1274973344775	47.83512803874408	9.946012214230405	4.280930081605602	1.673648279426942	1.0657938739450852	0.7116978389830031	0.6991207142059404	1.5376090709118613	1.4595872358285435	NaN
0.9999	Infinity	Infinity	Infinity	Infinity	1.2065161232140574E8	3.997231489330392E7	7030369.06915037	98107.46688313263	43255.060808876166	2571.709527568572	NaN
5.0E-4	443.1274973344775	49.1767220359977	9.946012214230405	4.95217058144147	1.984765778957027	1.0657938739450852	0.7116978389830031	0.6991207142059404	1.5376090709118613	1.4595872358285435	NaN
0.9995	Infinity	Infinity	Infinity	1.126081714999787E9	2.6811469404756837E7	3.997231489330392E7	7030369.06915037	98107.46688313263	43255.060808876166	2571.709527568572	NaN
0.001	443.1274973344775	49.34986456638573	9.946012214230405	4.997132503787811	1.984765778957027	1.0657938739450852	0.7116978389830031	0.6991207142059404	1.5376090709118613	1.4595872358285435	NaN
0.999	Infinity	Infinity	1.646507796256615E9	2.0503683235853046E8	2.6811469404756837E7	3.997231489330392E7	7030369.06915037	98107.46688313263	43255.060808876166	2571.709527568572	NaN
0.005	447.79364243350403	125.4127692969141	12.44811993575668	6.353858371271158	3.207973064578803	3.6424177245557963	0.7208528206072726	1.990274682187346	1.9527286611422252	1.4595872358285435	NaN
0.995	Infinity	4.482415333425355E10	1.012032931328758E7	573323.8034096425	6482784.45272602	247789.32715816674	177881.7511928418	98107.46688313263	43255.060808876166	2571.709527568572	NaN
0.01	16467.168580143683	145.03620161107585	21.166076399429592	10.49827680172853	6.604452428796673	5.195964785406976	0.7943743966546398	2.5127857830040554	15.7698111331694	7.202793198025324	NaN
0.99	Infinity	6.092225840012178E8	4258626.955039439	327506.3436125448	723386.3161560197	97760.57574542362	149908.71916195037	98107.46688313263	17217.51172220148	1521.4948607190117	NaN
0.025	45030.538124993065	3515.6542683642006	64.76929208945612	23.01780407432687	18.315692784884995	6.445526247555445	2.6267470657597602	12.764156546541592	53.761230479090294	17.123193635552923	NaN
0.975	Infinity	1.492337877567648E8	2007380.6006578917	171207.74929416238	63755.47566550895	28114.46834679927	96104.73031977682	22049.819502757764	4906.458621134962	1215.5164780936957	NaN
0.05	109556.41756478857	8630.204342122695	138.86209360198964	63.82828487960356	36.52613284362336	26.860978697054975	62.03274744784051	20.151890176041274	139.09112290477304	82.1974495089825	NaN
0.95	Infinity	4.546695735441254E7	1259960.1961895807	130281.08322426173	39525.34605897267	16649.7068777801	19816.6392436839	4876.36329987994	2497.3882217860187	1028.4031971725553	NaN
0.1	252182.43235108026	32071.63604023116	2736.0679187548108	853.888828955391	210.94782059374762	122.55318979071467	223.04034817119603	149.6208038624687	370.64881973127507	259.1332822436248	NaN
0.9	Infinity	1.1668105937794177E7	568243.4474225583	90548.94920456815	31077.107835284914	11668.266473620262	6520.528258273773	3291.741368507714	1426.7498236278495	874.2428394365979	NaN
0.5	8.487562353426488E7	775484.9303183134	132436.56901179178	35328.728563147604	12318.39557769152	6298.341656982295	3218.8492581304977	1893.386573204691	858.8428386901838	625.8341319037846	NaN
