r\c	0.0	100.0	200.0	300.0	400.0	500.0	600.0	700.0	800.0	900.0	1000.0	1100.0	1200.0	1300.0	1400.0	1500.0	1600.0	1700.0	1800.0	1900.0	2000.0	2100.0	2200.0	2300.0	2400.0	2500.0	2600.0	2700.0	2800.0	2900.0	3000.0
0.001	9.665217399597168	3.1841659545898438	1.0463035106658936	0.9436374306678772	0.5051876902580261	0.26022517681121826	0.14731760323047638	0.0698927640914917	0.05137364938855171	0.03698716685175896	0.02340354584157467	0.02330966107547283	0.022433066740632057	0.01572916842997074	0.011547425761818886	0.010002798400819302	0.010937991552054882	0.008734339848160744	0.010716280899941921	0.005541178863495588	0.004173050168901682	0.007948833517730236	0.0038197014946490526	0.0061167264357209206	0.005513348150998354	0.0025996894109994173	0.002426780527457595	0.0022697458043694496	0.0027664415538311005	0.001992846606299281	NaN
0.999	Infinity	6.2233312E7	495306.625	45982.63671875	12313.341796875	13768.8330078125	10563.265625	8151.65283203125	5748.25341796875	7398.24755859375	5353.76708984375	3107.316650390625	2387.792724609375	3532.876953125	1921.5692138671875	1661.0634765625	948.4013671875	787.8928833007812	658.8135375976562	400.0556335449219	1568.5059814453125	316.7947692871094	98.87200164794922	1467.257080078125	20235.67578125	21588.2265625	158.72120666503906	141.529541015625	1267.78857421875	63.84173583984375	NaN
0.005	64.86844635009766	8.070574760437012	3.1285312175750732	1.3524061441421509	0.9971498847007751	0.6056213974952698	0.32657143473625183	0.17095646262168884	0.16610142588615417	0.1563630998134613	0.06827399134635925	0.07364511489868164	0.06709333509206772	0.08912122994661331	0.07238432765007019	0.05257672816514969	0.06367455422878265	0.059135667979717255	0.11938604712486267	0.11561475694179535	0.03521829470992088	0.05584467947483063	0.11855734884738922	0.0493595227599144	0.09326217323541641	0.03577190637588501	0.1349918097257614	0.05276530981063843	0.07867272943258286	0.0068766032345592976	NaN
0.995	Infinity	3972837.0	112438.8515625	17860.984375	5765.38037109375	3204.28662109375	3154.3017578125	2383.032958984375	1710.0091552734375	1521.950439453125	1233.790771484375	1033.2801513671875	893.5791625976562	753.3665161132812	461.9539794921875	302.1213073730469	195.31231689453125	127.30216217041016	107.5634765625	103.44688415527344	117.49527740478516	107.37833404541016	86.72893524169922	67.46687316894531	51.328800201416016	38.04142761230469	31.994237899780273	17.930171966552734	14.699277877807617	11.413264274597168	NaN
0.01	92.89988708496094	9.542391777038574	7.1480889320373535	2.9457123279571533	1.3048208951950073	0.8995437026023865	0.5551685094833374	0.33982419967651367	0.3144263029098511	0.2246365249156952	0.16031557321548462	0.16103950142860413	0.1535450518131256	0.14873333275318146	0.1491013914346695	0.13847360014915466	0.1349182426929474	0.23107770085334778	0.30999821424484253	0.22924578189849854	0.1830396056175232	0.12220419198274612	0.2583217918872833	0.12801115214824677	0.19653436541557312	0.1351763904094696	0.18487229943275452	0.10785850137472153	0.12144488096237183	0.04358162730932236	NaN
0.99	Infinity	1930445.25	76038.7578125	12959.2685546875	4429.45654296875	2303.02978515625	1594.597900390625	1204.153564453125	867.8516235351562	609.4454956054688	443.782470703125	392.647705078125	321.5406494140625	498.44580078125	369.7352600097656	283.2275085449219	157.57699584960938	63.31319808959961	55.86076354980469	39.695274353027344	49.791568756103516	46.717952728271484	74.22232055664062	58.72259521484375	23.722244262695312	11.453703880310059	12.869254112243652	8.074371337890625	10.34908390045166	7.8217878341674805	NaN
0.025	748.140625	60.809730529785156	9.15461254119873	6.808712005615234	2.867056131362915	1.244259238243103	0.9249836802482605	0.8383658528327942	0.8100000619888306	0.755937397480011	0.7487146854400635	0.7195621132850647	0.6057046055793762	0.8404556512832642	0.8060374855995178	1.1340692043304443	0.6766982078552246	0.745418906211853	0.7461991310119629	0.517068088054657	0.5748776793479919	0.4260272681713104	0.5392599701881409	0.5019223093986511	0.512113094329834	0.3943849503993988	0.525273323059082	0.2684257924556732	0.32931727170944214	0.291064977645874	NaN
0.975	4.1889959936E10	747799.75	48554.9765625	9064.044921875	3263.482177734375	1598.5736083984375	931.97265625	558.5247192382812	345.2787170410156	236.20327758789062	168.8800048828125	121.90181732177734	97.53486633300781	83.62269592285156	97.39614868164062	153.91122436523438	38.818023681640625	28.08933448791504	24.177261352539062	21.252370834350586	18.080238342285156	16.667808532714844	14.212008476257324	11.22521686553955	9.615742683410645	8.353612899780273	7.424400329589844	7.575692176818848	7.037434101104736	5.83201789855957	NaN
0.05	1519.2657470703125	337.0417785644531	49.97140884399414	8.605488777160645	6.505784511566162	2.564551591873169	1.4561638832092285	1.1622658967971802	1.2578285932540894	1.9058747291564941	2.74489426612854	2.874650239944458	2.365020513534546	2.448261022567749	2.313354015350342	2.211196184158325	1.664773941040039	1.229325771331787	1.2145650386810303	0.9853366613388062	1.0842032432556152	0.8110402226448059	0.7836649417877197	0.9491373896598816	1.443334937095642	0.9642947316169739	1.038550853729248	0.8500028252601624	0.8055586218833923	0.37614092230796814	NaN
0.95	4.64584096E8	357635.09375	33710.47265625	7137.19287109375	2651.974853515625	1272.1151123046875	698.8714599609375	416.0386657714844	262.308837890625	181.02601623535156	131.22254943847656	95.8736572265625	72.70515441894531	56.23999786376953	46.95878219604492	37.402381896972656	27.13005256652832	21.567468643188477	17.927173614501953	14.877128601074219	12.801937103271484	12.417628288269043	9.802603721618652	7.979605674743652	7.140650272369385	6.07136344909668	5.199704170227051	7.111809253692627	6.621072292327881	5.319916248321533	NaN
0.1	3984.85498046875	534.8613891601562	160.39500427246094	39.21923065185547	12.432441711425781	6.108534336090088	4.715045928955078	3.8311941623687744	4.821183681488037	5.251612186431885	9.007782936096191	9.262417793273926	7.453526020050049	5.581326484680176	4.324060440063477	4.127127170562744	2.335618257522583	1.9913495779037476	1.8372409343719482	1.74601411819458	1.5666303634643555	1.8422627449035645	1.8887301683425903	2.021216630935669	2.1864874362945557	1.663111925125122	1.5712237358093262	1.4426425695419312	1.2320975065231323	0.9972833395004272	NaN
0.9	5.1913704E7	175509.6875	23534.462890625	5555.12841796875	2159.452392578125	1029.824462890625	552.8812255859375	331.4001770019531	217.65090942382812	153.15248107910156	116.4156265258789	84.27037811279297	63.3809814453125	48.66301727294922	38.32711410522461	30.599040985107422	23.53660774230957	19.33655548095703	15.9754056930542	13.384644508361816	11.057886123657227	9.716094017028809	8.131754875183105	6.786415100097656	6.069211006164551	5.220645904541016	4.495887756347656	4.932055473327637	4.077636241912842	4.278778553009033	NaN
0.5	445389.90625	33177.77734375	7191.60888671875	667.1436767578125	349.0315856933594	160.13272094726562	120.66394805908203	104.87742614746094	101.69074249267578	89.09782409667969	67.0534439086914	49.23596954345703	38.35231018066406	27.672391891479492	22.67488670349121	17.912887573242188	14.217601776123047	12.036995887756348	10.581817626953125	8.841287612915039	6.925525188446045	6.300755023956299	5.608089447021484	4.775106906890869	4.192341327667236	3.5929932594299316	3.1788294315338135	2.9958999156951904	2.676801919937134	2.287076234817505	NaN
