r\c	0.0	100.0	200.0	300.0	400.0	500.0	600.0	700.0	800.0	900.0	1000.0	1100.0	1200.0	1300.0	1400.0	1500.0	1600.0	1700.0	1800.0	1900.0	2000.0	2100.0	2200.0	2300.0	2400.0	2500.0	2600.0	2700.0	2800.0	2900.0	3000.0
5.0E-6	27.888303756713867	7.292399883270264	3.9937708377838135	2.346764087677002	1.5697906017303467	1.0694828033447266	0.7009018659591675	0.48790469765663147	0.4570935070514679	0.3991917073726654	0.26744696497917175	0.26810503005981445	0.2430621236562729	0.20338858664035797	0.1908017247915268	0.14391817152500153	0.1447937786579132	0.11402279138565063	0.10930019617080688	0.1345154047012329	0.0981537252664566	0.09792788326740265	0.09575944393873215	0.06718549132347107	0.11807525902986526	0.07531040906906128	0.06745113432407379	0.07354742288589478	0.06892330199480057	0.03563785180449486	NaN
0.999995	Infinity	Infinity	Infinity	699664.75	153085.546875	3990371.5	4.26811296E8	3.24747744E8	3.286447104E10	1.32518024E8	10935.095703125	Infinity	Infinity	Infinity	4.3299696E7	Infinity	Infinity	Infinity	1.9207756E7	Infinity	Infinity	Infinity	Infinity	11995.5654296875	Infinity	Infinity	Infinity	Infinity	170.41888427734375	Infinity	NaN
1.0E-5	27.888303756713867	7.886711597442627	4.283151626586914	2.4749372005462646	1.6845052242279053	1.1163331270217896	0.7009018659591675	0.48790469765663147	0.4690442681312561	0.42067813873291016	0.29527053236961365	0.26810503005981445	0.2430621236562729	0.20338858664035797	0.1908017247915268	0.14391817152500153	0.1447937786579132	0.11402279138565063	0.10930019617080688	0.1345154047012329	0.0981537252664566	0.09792788326740265	0.09575944393873215	0.06718549132347107	0.11807525902986526	0.07531040906906128	0.06745113432407379	0.07354742288589478	0.06892330199480057	0.03563785180449486	NaN
0.99999	Infinity	Infinity	Infinity	185623.9375	38896.9453125	99082.59375	3282096.5	1.1758063E7	3.286447104E10	1.1564385E7	10935.095703125	8.4593232E7	Infinity	Infinity	4.3299696E7	Infinity	Infinity	Infinity	1.9207756E7	Infinity	Infinity	Infinity	Infinity	11995.5654296875	Infinity	Infinity	Infinity	Infinity	170.41888427734375	Infinity	NaN
5.0E-5	27.888303756713867	8.666184425354004	4.698781490325928	2.7558021545410156	1.8840612173080444	1.2511895895004272	0.8317599892616272	0.5896050930023193	0.5287047624588013	0.43244096636772156	0.3262247145175934	0.27700355648994446	0.24869029223918915	0.2237883061170578	0.1908017247915268	0.14391817152500153	0.1447937786579132	0.11402279138565063	0.10930019617080688	0.1345154047012329	0.0981537252664566	0.09792788326740265	0.09575944393873215	0.06718549132347107	0.11807525902986526	0.07531040906906128	0.06745113432407379	0.07354742288589478	0.06892330199480057	0.03563785180449486	NaN
0.99995	Infinity	Infinity	202429.75	22156.515625	5203.2041015625	6457.0966796875	6586.45068359375	6258.94189453125	14569.9599609375	112562.7734375	6457.0966796875	21866.927734375	5.7255176E7	30356.73828125	3.8002396E7	3.5675716E7	2.9741602E7	2.2463754E7	1.9207756E7	Infinity	Infinity	Infinity	Infinity	11995.5654296875	Infinity	Infinity	Infinity	Infinity	170.41888427734375	Infinity	NaN
1.0E-4	27.888303756713867	9.54077434539795	5.051723003387451	2.8643205165863037	1.9479073286056519	1.307233214378357	0.9044557809829712	0.6297804117202759	0.5533081889152527	0.44816088676452637	0.34503647685050964	0.2960405647754669	0.24869029223918915	0.22399988770484924	0.19751398265361786	0.14391817152500153	0.14674948155879974	0.11402279138565063	0.10930019617080688	0.1345154047012329	0.0981537252664566	0.09792788326740265	0.09575944393873215	0.06718549132347107	0.11807525902986526	0.07531040906906128	0.06745113432407379	0.07354742288589478	0.06892330199480057	0.03563785180449486	NaN
0.9999	Infinity	Infinity	85590.671875	9540.671875	3113.333984375	3480.60400390625	3502.6123046875	2745.34423828125	3592.609375	5389.82568359375	2652.93408203125	1378.8660888671875	127353.1328125	6207.33935546875	57840.9296875	3382.817626953125	2.8058116E7	2.2463754E7	3962.20703125	77.57423400878906	3971.96923828125	1949.04443359375	11936.1923828125	11995.5654296875	Infinity	Infinity	Infinity	Infinity	170.41888427734375	Infinity	NaN
5.0E-4	41.39436721801758	11.268290519714355	5.706610679626465	3.131836175918579	2.147758722305298	1.4618743658065796	1.037839651107788	0.7708439230918884	0.6089709997177124	0.49311989545822144	0.39769262075424194	0.3292611539363861	0.27559933066368103	0.24259251356124878	0.2136412262916565	0.1759846955537796	0.1717630922794342	0.1596529334783554	0.15453919768333435	0.15410859882831573	0.10576411336660385	0.09807750582695007	0.10253840684890747	0.06718549132347107	0.11807525902986526	0.07531040906906128	0.06745113432407379	0.07354742288589478	0.06892330199480057	0.03563785180449486	NaN
