r\c	0.0	100.0	200.0	300.0	400.0	500.0	600.0	700.0	800.0	900.0	1000.0	1100.0	1200.0	1300.0	1400.0	1500.0	1600.0	1700.0	1800.0	1900.0	2000.0	2100.0	2200.0	2300.0	2400.0	2500.0	2600.0	2700.0	2800.0	2900.0	3000.0
5.0E-6	1.025818943977356	0.505296528339386	0.3421645164489746	0.25691601634025574	0.20559197664260864	0.17035406827926636	0.13425253331661224	0.1141781210899353	0.10275779664516449	0.09340160340070724	0.08533847332000732	0.07341812551021576	0.07339846342802048	0.0682772845029831	0.06045030802488327	0.057091668248176575	0.05407683178782463	0.051365260034799576	0.04881400987505913	0.04670858010649681	0.04281304404139519	0.041096873581409454	0.03952586650848389	0.03798419609665871	0.05205105245113373	0.03425179049372673	0.03314664214849472	0.03308935463428497	0.031131526455283165	0.031086210161447525	NaN
0.999995	Infinity	Infinity	1374490.5	1982.512939453125	960.6710205078125	4862.49853515625	327259.625	251989.921875	5039798.5	152413.265625	305.7611083984375	Infinity	Infinity	Infinity	73040.5546875	Infinity	Infinity	Infinity	42710.15625	Infinity	Infinity	Infinity	Infinity	277.3612060546875	Infinity	Infinity	Infinity	Infinity	17.35121726989746	Infinity	NaN
1.0E-5	1.025818943977356	0.5134490132331848	0.34241560101509094	0.2569938004016876	0.2374485284090042	0.171205535531044	0.14440268278121948	0.11420930922031403	0.10275811702013016	0.09340160340070724	0.08533847332000732	0.07341812551021576	0.07339846342802048	0.0682772845029831	0.06045030802488327	0.057091668248176575	0.05407683178782463	0.051365260034799576	0.04881400987505913	0.04670858010649681	0.04281304404139519	0.041096873581409454	0.03952586650848389	0.03798419609665871	0.05205105245113373	0.03425179049372673	0.03314664214849472	0.03308935463428497	0.031131526455283165	0.031086210161447525	NaN
0.99999	Infinity	Infinity	24433.224609375	1347.6058349609375	543.4732055664062	1004.290771484375	2617.845703125	7569.68896484375	5039798.5	19949.44140625	305.7611083984375	113508.9765625	Infinity	Infinity	73040.5546875	Infinity	Infinity	Infinity	42710.15625	Infinity	Infinity	Infinity	Infinity	277.3612060546875	Infinity	Infinity	Infinity	Infinity	17.35121726989746	Infinity	NaN
5.0E-5	1.0258190631866455	0.5139885544776917	0.4406737983226776	0.3383003771305084	0.2564666271209717	0.19291876256465912	0.16773568093776703	0.12837043404579163	0.11372067034244537	0.09344307333230972	0.08565071225166321	0.07874135673046112	0.07340792566537857	0.0682772845029831	0.06045030802488327	0.057091668248176575	0.05407683178782463	0.051365260034799576	0.04881400987505913	0.04670858010649681	0.04281304404139519	0.041096873581409454	0.03952586650848389	0.03798419609665871	0.05205105245113373	0.03425179049372673	0.03314664214849472	0.03308935463428497	0.031131526455283165	0.031086210161447525	NaN
0.99995	Infinity	1.2599496E7	1404.80078125	405.63226318359375	184.6979217529297	189.5181884765625	189.5181884765625	191.04644775390625	412.22528076171875	1078.3345947265625	187.7430419921875	189.96603393554688	87801.3671875	491.64984130859375	67018.59375	64283.14453125	57011.29296875	47366.52734375	42710.15625	Infinity	Infinity	Infinity	Infinity	277.3612060546875	Infinity	Infinity	Infinity	Infinity	17.35121726989746	Infinity	NaN
1.0E-4	1.0258190631866455	0.6202101707458496	0.44132813811302185	0.3418460190296173	0.2568274438381195	0.20519351959228516	0.17087678611278534	0.14355486631393433	0.11409245431423187	0.10266324132680893	0.0929923728108406	0.07903611660003662	0.0787748470902443	0.06848859786987305	0.06045655906200409	0.05709858983755112	0.05407683178782463	0.051365260034799576	0.04881400987505913	0.04670858010649681	0.04281304404139519	0.041096873581409454	0.03952586650848389	0.03798419609665871	0.05205105245113373	0.03425179049372673	0.03314664214849472	0.03308935463428497	0.031131526455283165	0.031086210161447525	NaN
0.9999	Infinity	265143.71875	850.3259887695312	260.79608154296875	134.62344360351562	144.20550537109375	133.0672607421875	119.11041259765625	150.55715942382812	206.18405151367188	135.63412475585938	91.87313842773438	1146.14501953125	258.76416015625	723.14599609375	168.86691284179688	54859.92578125	47366.52734375	185.06680297851562	10.741901397705078	185.41114807128906	118.79093170166016	276.5642395019531	277.3612060546875	Infinity	Infinity	Infinity	Infinity	17.35121726989746	Infinity	NaN
5.0E-4	1.027982234954834	0.7725323438644409	0.512414813041687	0.4441227316856384	0.34102633595466614	0.25584882497787476	0.20300069451332092	0.16937366127967834	0.1281989961862564	0.11395011842250824	0.10256121307611465	0.08558721095323563	0.08541133254766464	0.0733083188533783	0.06842783093452454	0.0641065463423729	0.06037979573011398	0.06012064591050148	0.05689545348286629	0.05125768482685089	0.044577695429325104	0.04110553488135338	0.04101776331663132	0.03798419609665871	0.05206584557890892	0.03536829724907875	0.03314664214849472	0.03308935463428497	0.031131526455283165	0.031086210161447525	NaN
