r\c	0.0	100.0	200.0	300.0	400.0	500.0	600.0	700.0	800.0	900.0	1000.0	1100.0	1200.0	1300.0	1400.0	1500.0	1600.0	1700.0	1800.0	1900.0	2000.0	2100.0	2200.0	2300.0	2400.0	2500.0	2600.0	2700.0	2800.0	2900.0	3000.0
5.0E-6	6.116452217102051	3.2822892665863037	2.97106671333313	2.362635374069214	1.9623239040374756	1.5630090236663818	1.3274701833724976	1.0217171907424927	1.0036895275115967	0.8851505517959595	0.8082745671272278	0.7335560917854309	0.7111530303955078	0.6359294056892395	0.6130578517913818	0.5647738575935364	0.539656400680542	0.5224073529243469	0.4667724668979645	0.4234609305858612	0.42090335488319397	0.4113817512989044	0.38625457882881165	0.36659348011016846	0.358970046043396	0.39334729313850403	0.38883256912231445	0.3678145706653595	0.3083554208278656	0.3489522933959961	NaN
0.999995	Infinity	Infinity	Infinity	190.0711669921875	67.1580581665039	90.24637603759766	466.8512268066406	1312.5921630859375	1449.108642578125	271.7078857421875	54.1478271484375	Infinity	Infinity	Infinity	189.01417541503906	Infinity	Infinity	Infinity	144.91087341308594	Infinity	Infinity	Infinity	Infinity	11.069975852966309	Infinity	Infinity	Infinity	Infinity	8.516366004943848	Infinity	NaN
1.0E-5	6.116452217102051	3.772892713546753	3.0682883262634277	2.4648149013519287	2.067131519317627	1.625456690788269	1.3700406551361084	1.1254081726074219	1.0036895275115967	0.8851505517959595	0.8082745671272278	0.7335560917854309	0.7111530303955078	0.6359294056892395	0.6130578517913818	0.5647738575935364	0.539656400680542	0.5224073529243469	0.4667724668979645	0.4234609305858612	0.42090335488319397	0.4113817512989044	0.38625457882881165	0.36659348011016846	0.358970046043396	0.39334729313850403	0.38883256912231445	0.3678145706653595	0.3083554208278656	0.3489522933959961	NaN
0.99999	Infinity	Infinity	4347.326171875	90.24637603759766	44.96090316772461	52.39257049560547	190.0711669921875	347.78607177734375	1449.108642578125	99.09091186523438	54.1478271484375	316.21368408203125	Infinity	Infinity	189.01417541503906	Infinity	Infinity	Infinity	144.91087341308594	Infinity	Infinity	Infinity	Infinity	11.069975852966309	Infinity	Infinity	Infinity	Infinity	8.516366004943848	Infinity	NaN
5.0E-5	6.116452217102051	4.166516304016113	3.37052845954895	2.7246527671813965	2.2641170024871826	1.8038886785507202	1.4497452974319458	1.2394280433654785	1.0981630086898804	0.9799472689628601	0.83014315366745	0.7806593775749207	0.7226349115371704	0.6359294056892395	0.6130578517913818	0.5647738575935364	0.539656400680542	0.5224073529243469	0.4667724668979645	0.4234609305858612	0.42090335488319397	0.4113817512989044	0.38625457882881165	0.36659348011016846	0.358970046043396	0.39334729313850403	0.38883256912231445	0.3678145706653595	0.3083554208278656	0.3489522933959961	NaN
0.99995	Infinity	8694.65234375	160.6545867919922	30.81931495666504	17.69208526611328	18.132482528686523	30.144861221313477	22.834693908691406	27.407909393310547	33.84239196777344	18.20842933654785	222.93980407714844	218.76535034179688	43.15544128417969	181.13858032226562	177.44187927246094	291.6871337890625	152.53775024414062	144.91087341308594	Infinity	Infinity	Infinity	Infinity	11.069975852966309	Infinity	Infinity	Infinity	Infinity	8.516366004943848	Infinity	NaN
1.0E-4	6.116452217102051	4.560019493103027	3.543450117111206	2.831357002258301	2.3525407314300537	1.8806798458099365	1.5305345058441162	1.295003056526184	1.1117241382598877	1.018660545349121	0.8558579683303833	0.8073464632034302	0.7370828986167908	0.6508806347846985	0.6456806659698486	0.5683935880661011	0.539656400680542	0.5224073529243469	0.4667724668979645	0.4234609305858612	0.42090335488319397	0.4113817512989044	0.38625457882881165	0.36659348011016846	0.358970046043396	0.39334729313850403	0.38883256912231445	0.3678145706653595	0.3083554208278656	0.3489522933959961	NaN
0.9999	Infinity	2898.21728515625	81.9979248046875	22.931596755981445	14.65028190612793	14.890193939208984	15.40965747833252	15.501704216003418	18.083003997802734	22.655302047729492	14.506839752197266	14.531084060668945	207.01553344726562	24.54317283630371	17.240707397460938	32.16893005371094	167.20484924316406	152.53775024414062	13.484710693359375	7.45949125289917	31.195693969726562	10.16948127746582	11.055899620056152	11.069975852966309	Infinity	Infinity	Infinity	Infinity	8.516366004943848	Infinity	NaN
5.0E-4	6.564578533172607	5.242129802703857	3.917334794998169	3.1116280555725098	2.5487020015716553	2.0438010692596436	1.69610595703125	1.4408811330795288	1.2249279022216797	1.0943567752838135	0.9594777822494507	0.8566956520080566	0.8196133971214294	0.7373741865158081	0.6897039413452148	0.5897865891456604	0.6439143419265747	0.5917017459869385	0.4716278612613678	0.44412899017333984	0.471381813287735	0.4119665026664734	0.3869163990020752	0.37064650654792786	0.358970046043396	0.39334729313850403	0.38883256912231445	0.3678145706653595	0.3083554208278656	0.3489522933959961	NaN
0.9995	Infinity	323.5569152832031	30.71045684814453	14.482675552368164	9.779276847839355	9.486618995666504	9.27711296081543	9.796403884887695	9.164859771728516	9.023704528808594	8.181838989257812	8.5628080368042	11.273484230041504	8.316827774047852	7.705519676208496	11.069975852966309	13.037473678588867	9.380401611328125	8.516366004943848	4.406445026397705	11.768335342407227	7.478740215301514	7.70482873916626	10.439556121826172	12.48161792755127	9.171439170837402	9.380401611328125	23.054319381713867	8.516366004943848	5.485002040863037	NaN
0.001	7.852977275848389	5.482260227203369	4.105177402496338	3.2232041358947754	2.6380116939544678	2.1057848930358887	1.74162757396698	1.487903118133545	1.286714792251587	1.1473915576934814	1.0252324342727661	0.9186120629310608	0.858626127243042	0.7907325029373169	0.7400960326194763	0.6741206645965576	0.6698818802833557	0.6118202805519104	0.4813312888145447	0.4446968734264374	0.49085110425949097	0.4232029318809509	0.38742488622665405	0.3757200539112091	0.41239815950393677	0.4002688229084015	0.3915851414203644	0.3780316412448883	0.3083663582801819	0.35070013999938965	NaN
0.999	Infinity	114.0543441772461	24.132904052734375	12.211296081542969	8.392565727233887	8.215204238891602	7.802918910980225	7.632967472076416	7.668729782104492	7.5685343742370605	6.80794620513916	6.149424076080322	6.332125663757324	5.863541126251221	5.499908924102783	5.174426555633545	4.903239727020264	4.811633586883545	5.701650619506836	4.005790710449219	11.441295623779297	7.016933917999268	7.191532135009766	6.672531604766846	12.463726043701172	6.223399639129639	6.018311977386475	5.830916881561279	8.516366004943848	5.485002040863037	NaN
0.005	9.43339729309082	6.219870090484619	4.468203544616699	3.451035499572754	2.8293819427490234	2.288792610168457	1.8783059120178223	1.6041345596313477	1.375351071357727	1.2287224531173706	1.1099423170089722	1.0188910961151123	0.9393519163131714	0.8743533492088318	0.8175985217094421	0.7722089886665344	0.7397677302360535	0.6894785761833191	0.6475590467453003	0.5932589769363403	0.5633843541145325	0.5574687719345093	0.5016142129898071	0.48073557019233704	0.5009521245956421	0.45607393980026245	0.46259573101997375	0.45379719138145447	0.4145354628562927	0.42157551646232605	NaN
0.995	2625.184326171875	43.25395584106445	15.124869346618652	8.739906311035156	6.368101596832275	5.837539196014404	5.642697334289551	5.294671058654785	4.873195171356201	4.585719585418701	4.564598560333252	4.1321001052856445	3.6967453956604004	3.8550496101379395	3.0799999237060547	2.9635186195373535	2.5578107833862305	2.496947765350342	2.4951939582824707	2.279419422149658	2.4729788303375244	2.054504156112671	1.835718035697937	1.8179728984832764	1.8732566833496094	2.8242595195770264	1.6682957410812378	1.8285505771636963	1.4975303411483765	1.2515214681625366	NaN
0.01	10.136417388916016	6.538030624389648	4.567948818206787	3.5509886741638184	2.907665491104126	2.3767294883728027	1.956209421157837	1.6651798486709595	1.4282091856002808	1.2701804637908936	1.1495829820632935	1.0546085834503174	0.9752106666564941	0.9017321467399597	0.8540999889373779	0.8049988746643066	0.7726561427116394	0.7252717018127441	0.6800100803375244	0.6267576217651367	0.6004575490951538	0.5866525769233704	0.5485678315162659	0.5166544914245605	0.5177493691444397	0.4905788004398346	0.47685888409614563	0.4616992473602295	0.43755486607551575	0.4391830861568451	NaN
0.99	1140.427001953125	31.17093849182129	13.024038314819336	7.7728400230407715	5.80902099609375	5.122939109802246	4.766863822937012	4.487794399261475	4.192239284515381	3.873943567276001	3.6641407012939453	3.2803404331207275	3.0168373584747314	3.0429775714874268	2.8069565296173096	2.5680863857269287	2.239499092102051	2.039262056350708	1.8897125720977783	1.7304391860961914	2.0341572761535645	1.862797737121582	1.738823652267456	1.6335511207580566	1.4988863468170166	1.463515281677246	1.3990448713302612	1.1492632627487183	1.1646902561187744	1.1292641162872314	NaN
