r\c	0.0	50.0	100.0	150.0	200.0	250.0	300.0	350.0	400.0	450.0	500.0	550.0	600.0	650.0	700.0	750.0	800.0	850.0	900.0	950.0	1000.0	1050.0	1100.0	1150.0	1200.0	1250.0	1300.0	1350.0	1400.0	1450.0	1500.0	1550.0	1600.0	1650.0	1700.0	1750.0	1800.0	1850.0	1900.0	1950.0	2000.0	2050.0	2100.0	2150.0	2200.0	2250.0	2300.0	2350.0	2400.0	2450.0	2500.0	2550.0	2600.0	2650.0	2700.0	2750.0	2800.0	2850.0	2900.0	2950.0	3000.0
5.0E-6	3294.268310546875	8.093615531921387	1.3812791109085083	0.8069883584976196	0.6082981824874878	0.34011727571487427	0.26411914825439453	0.17586511373519897	0.16387495398521423	0.10549524426460266	0.07041614502668381	0.06909982860088348	0.05027365684509277	0.037733495235443115	0.03722194954752922	0.02932971715927124	0.02347969450056553	0.023462742567062378	0.02248409017920494	0.01919037103652954	0.016005411744117737	0.015878591686487198	0.01354348473250866	0.011609477922320366	0.011602782644331455	0.013506568968296051	0.010053321719169617	0.009984328411519527	0.008794307708740234	0.007764947135001421	0.006903889123350382	0.0069021182134747505	0.007745728362351656	0.0061731799505651	0.006140218116343021	0.005554119125008583	0.006858484353870153	0.005002512130886316	0.004570995457470417	0.005509562790393829	0.004172241780906916	0.0038251488003879786	0.008231895975768566	0.0035184919834136963	0.00324949249625206	0.006116760894656181	0.0061167264357209206	0.002996050985530019	0.00551331602036953	0.005510134622454643	0.0025996894109994173	0.002427209634333849	0.002426780527457595	0.0022705821320414543	0.0022624845150858164	0.0032145308796316385	0.0027664415538311005	0.0019988389685750008	0.001992846606299281	0.0024064169265329838	NaN
0.999995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	1.639019264E9	3.0068466E7	1.20985136E8	6192441.0	2.35978850304E11	3.60671072E8	7.81258063872E11	Infinity	4.51770974208E11	Infinity	3.80993529708544E14	Infinity	1.9035172864E10	1.58923882496E11	Infinity	394542.34375	Infinity	6.9481259008E10	2.9283374E7	Infinity	43842.84375	Infinity	3.50210048E10	2.9370454016E10	Infinity	1631.6231689453125	Infinity	1.6756543488E10	3267258.0	Infinity	4567.88330078125	1.1719631872E10	Infinity	766.7678833007812	Infinity	6393.2998046875	316.7947692871094	Infinity	4677.12060546875	Infinity	1467.257080078125	813575.0625	Infinity	20269.40234375	Infinity	34379.5234375	1366.2760009765625	Infinity	141.529541015625	Infinity	52.02132797241211	1267.78857421875	Infinity	45.042510986328125	NaN
1.0E-5	3294.268310546875	8.093615531921387	1.3812791109085083	0.9667172431945801	0.6354801058769226	0.3513714075088501	0.2651103734970093	0.17600108683109283	0.17056682705879211	0.1056264191865921	0.07043638080358505	0.06912331283092499	0.06210191547870636	0.04110657423734665	0.037698812782764435	0.02932971715927124	0.028963306918740273	0.023462742567062378	0.02248409017920494	0.01919037103652954	0.016005411744117737	0.015878591686487198	0.01354348473250866	0.011609477922320366	0.011602782644331455	0.013506568968296051	0.010053321719169617	0.009984328411519527	0.008794307708740234	0.007764947135001421	0.006903889123350382	0.0069021182134747505	0.007745728362351656	0.0061731799505651	0.006140218116343021	0.005554119125008583	0.006858484353870153	0.005002512130886316	0.004570995457470417	0.005509562790393829	0.004172241780906916	0.0038251488003879786	0.008231895975768566	0.0035184919834136963	0.00324949249625206	0.006116760894656181	0.0061167264357209206	0.002996050985530019	0.00551331602036953	0.005510134622454643	0.0025996894109994173	0.002427209634333849	0.002426780527457595	0.0022705821320414543	0.0022624845150858164	0.0032145308796316385	0.0027664415538311005	0.0019988389685750008	0.001992846606299281	0.0024064169265329838	NaN
0.99999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	7.307636E7	4803649.0	4871757.5	3042104.25	4871757.5	3.0068466E7	4871757.5	4.1889959936E10	4.2641608E7	Infinity	3.80993529708544E14	Infinity	1.9035172864E10	1.58923882496E11	704421.9375	394542.34375	Infinity	6.9481259008E10	2.9283374E7	Infinity	43842.84375	Infinity	3.50210048E10	2.9370454016E10	Infinity	1631.6231689453125	Infinity	1.6756543488E10	3267258.0	Infinity	4567.88330078125	1.1719631872E10	Infinity	766.7678833007812	Infinity	6393.2998046875	316.7947692871094	Infinity	4677.12060546875	Infinity	1467.257080078125	813575.0625	Infinity	20269.40234375	Infinity	34379.5234375	1366.2760009765625	Infinity	141.529541015625	Infinity	52.02132797241211	1267.78857421875	Infinity	45.042510986328125	NaN
5.0E-5	3294.268310546875	8.093615531921387	2.8571956157684326	1.0564687252044678	0.6523413062095642	0.4362257719039917	0.35031846165657043	0.3208857774734497	0.17572423815727234	0.17481742799282074	0.10527240484952927	0.07035446166992188	0.07013733685016632	0.05021224543452263	0.04824565351009369	0.037632644176483154	0.02930658496916294	0.023472553119063377	0.023455118760466576	0.01919851265847683	0.019003620371222496	0.015991592779755592	0.01354348473250866	0.013424476608633995	0.011602782644331455	0.013506568968296051	0.010053321719169617	0.009984328411519527	0.008794307708740234	0.007764947135001421	0.006903889123350382	0.0069021182134747505	0.007745728362351656	0.0061731799505651	0.006140218116343021	0.005554119125008583	0.006858484353870153	0.005002512130886316	0.004570995457470417	0.005509562790393829	0.004172241780906916	0.0038251488003879786	0.008231895975768566	0.0035184919834136963	0.00324949249625206	0.006116760894656181	0.0061167264357209206	0.002996050985530019	0.00551331602036953	0.005510134622454643	0.0025996894109994173	0.002427209634333849	0.002426780527457595	0.0022705821320414543	0.0022624845150858164	0.0032145308796316385	0.0027664415538311005	0.0019988389685750008	0.001992846606299281	0.0024064169265329838	NaN
0.99995	Infinity	Infinity	Infinity	Infinity	3.02142496E8	1.6489252E7	4871757.5	976262.6875	241916.984375	215669.28125	327709.78125	339677.03125	339677.03125	579971.125	178140.71875	275113.15625	1.4615273E7	256778.59375	1000919.3125	2.287904E7	337642.25	43601.12890625	347982.6875	147629.015625	2.9283374E7	5.105782784E10	43842.84375	3151861.25	3.50210048E10	2.9370454016E10	2.6972864512E10	1631.6231689453125	Infinity	1.6756543488E10	3267258.0	Infinity	4567.88330078125	1.1719631872E10	Infinity	766.7678833007812	Infinity	6393.2998046875	316.7947692871094	Infinity	4677.12060546875	Infinity	1467.257080078125	813575.0625	Infinity	20269.40234375	Infinity	34379.5234375	1366.2760009765625	Infinity	141.529541015625	Infinity	52.02132797241211	1267.78857421875	Infinity	45.042510986328125	NaN
1.0E-4	3294.268310546875	8.093860626220703	2.953716516494751	1.2840099334716797	0.9294699430465698	0.6346434354782104	0.35117238759994507	0.3488166928291321	0.2638415992259979	0.1750701665878296	0.14377324283123016	0.07041347026824951	0.07018326222896576	0.06698141247034073	0.05013667792081833	0.0376555435359478	0.02932233363389969	0.029272932559251785	0.02896440215408802	0.019208278506994247	0.019006280228495598	0.019157888367772102	0.01509074680507183	0.013424476608633995	0.011606005020439625	0.01590319536626339	0.010053321719169617	0.009984328411519527	0.008794307708740234	0.007764947135001421	0.006903889123350382	0.0069021182134747505	0.007745728362351656	0.0061731799505651	0.006140218116343021	0.005554119125008583	0.006858484353870153	0.005002512130886316	0.004570995457470417	0.005509562790393829	0.004172241780906916	0.0038251488003879786	0.008231895975768566	0.0035184919834136963	0.00324949249625206	0.006116760894656181	0.0061167264357209206	0.002996050985530019	0.00551331602036953	0.005510134622454643	0.0025996894109994173	0.002427209634333849	0.002426780527457595	0.0022705821320414543	0.0022624845150858164	0.0032145308796316385	0.0027664415538311005	0.0019988389685750008	0.001992846606299281	0.0024064169265329838	NaN
0.9999	Infinity	Infinity	Infinity	5.714902811410432E15	5.0173724E7	4736897.5	1286763.375	312616.0	111592.6875	72503.2421875	122920.5546875	126360.5390625	112896.1328125	142192.546875	72442.3671875	102204.703125	385605.84375	84537.2265625	125322.7109375	179624.484375	72503.2421875	40151.84765625	15082.8408203125	27082.302734375	2.9283374E7	5.105782784E10	43842.84375	3151861.25	127597.59375	8397988.0	2.6972864512E10	1631.6231689453125	2.1109622784E10	1.6756543488E10	3267258.0	1.4467741696E10	4567.88330078125	1.1719631872E10	Infinity	766.7678833007812	Infinity	6393.2998046875	316.7947692871094	Infinity	4677.12060546875	Infinity	1467.257080078125	813575.0625	Infinity	20269.40234375	Infinity	34379.5234375	1366.2760009765625	Infinity	141.529541015625	Infinity	52.02132797241211	1267.78857421875	Infinity	45.042510986328125	NaN
5.0E-4	3294.268310546875	9.664896965026855	3.259321689605713	2.661349058151245	1.05202317237854	0.9715569615364075	0.6516320705413818	0.6269327998161316	0.34921833872795105	0.3333949148654938	0.17561903595924377	0.16886784136295319	0.10483933240175247	0.07013925909996033	0.06981447339057922	0.061908744275569916	0.03760393336415291	0.037094324827194214	0.03698716685175896	0.023419128730893135	0.023375030606985092	0.02335236221551895	0.015982890501618385	0.015969187021255493	0.013529804535210133	0.015925588086247444	0.01421340275555849	0.011563069187104702	0.010034751147031784	0.010024427436292171	0.007761680521070957	0.008764690719544888	0.013865694403648376	0.006886392831802368	0.006171027198433876	0.007675413973629475	0.009865238331258297	0.005026322789490223	0.005541178863495588	0.005529693327844143	0.004173050168901682	0.0038251488003879786	0.008231895975768566	0.0035184919834136963	0.0035044080577790737	0.006116760894656181	0.0061167264357209206	0.002996050985530019	0.00551331602036953	0.005510134622454643	0.0025996894109994173	0.002427209634333849	0.002426780527457595	0.0022705821320414543	0.0022624845150858164	0.0032145308796316385	0.0027664415538311005	0.0019988389685750008	0.001992846606299281	0.0024064169265329838	NaN
