r\c	0.0	25.0	50.0	75.0	100.0	125.0	150.0	175.0	200.0	225.0	250.0	275.0	300.0	325.0	350.0	375.0	400.0	425.0	450.0	475.0	500.0	525.0	550.0	575.0	600.0	625.0	650.0	675.0	700.0	725.0	750.0	775.0	800.0	825.0	850.0	875.0	900.0	925.0	950.0	975.0	1000.0
0.9995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	1.012032931328758E7	Infinity	6.756490289998722E9	5225799.840966708	1.126081714999787E9	1957826.2822616848	Infinity	2.6811469404756837E7	1.2065161232140574E8	2.6811469404756837E7	2.087169793007676E7	3.997231489330392E7	2.6811469404756837E7	32814.02273205839	7030369.06915037	3374870.274724637	149908.71916195037	7030369.06915037	58344.22542135323	22049.819502757764	8590.767811296146	4386.646782562362	98107.46688313263	17217.51172220148	43255.060808876166	4906.458621134962	1533.356270986694	2571.709527568572	1115.2897744111317	853.7239421342658	1301.4105901564678	NaN
0.001	7.996203748723864E13	420939.52137118974	141847.35781214703	443.1274973344775	297.40719792206886	145.03620161107585	74.63266103963394	49.1767220359977	24.944386214615218	15.049372407253156	14.91386846789686	9.946012214230405	9.492052835272354	7.438181672870051	4.280930081605602	4.95217058144147	3.207973064578803	2.3959526647049656	1.984765778957027	1.673648279426942	3.48700272364419	1.0657938739450852	5.4188883574245486	5.093200350302159	2.98849295536639	0.7943743966546398	0.7116978389830031	0.7208528206072726	0.6991207142059404	2.5127857830040554	1.990274682187346	3.171410221934312	1.9527286611422252	56.20066478345709	2.133848528456645	1.5376090709118613	13.825786819240204	17.123193635552923	1.4595872358285435	267.3160712476968	NaN
0.999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	1.646507796256615E9	1.012032931328758E7	Infinity	6229115.885913247	5225799.840966708	2.0720351732602686E7	1957826.2822616848	Infinity	2.6811469404756837E7	1.2065161232140574E8	2.6811469404756837E7	2.087169793007676E7	3.997231489330392E7	2.6811469404756837E7	32814.02273205839	7030369.06915037	3374870.274724637	149908.71916195037	7030369.06915037	58344.22542135323	22049.819502757764	8590.767811296146	4386.646782562362	98107.46688313263	17217.51172220148	43255.060808876166	4906.458621134962	1533.356270986694	2571.709527568572	1115.2897744111317	853.7239421342658	1301.4105901564678	NaN
0.005	7.996203748723864E13	420939.52137118974	141847.35781214703	447.79364243350403	301.7059679744191	146.54469213136355	125.79411060582528	49.956298100172546	25.032745681969132	16.156337449765036	15.99530302647797	9.946012214230405	12.270344226053306	7.483971066959006	4.997132503787811	5.7252214017680965	3.207973064578803	7.923775603237492	2.1244529148711697	1.9952552879394758	4.185262112470113	1.3702964219520766	5.4188883574245486	5.093200350302159	2.98849295536639	0.7943743966546398	0.7116978389830031	0.7208528206072726	0.6991207142059404	2.5127857830040554	1.990274682187346	3.171410221934312	1.9527286611422252	56.20066478345709	2.133848528456645	1.5376090709118613	13.825786819240204	17.123193635552923	1.4595872358285435	267.3160712476968	NaN
0.995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	3.614116064318574E8	4.5006823454808645E7	2.552355082831766E7	6365727.897260342	1159452.5915391243	1726492.8003648242	468260.12420185003	308887.0731241022	269158.5588892009	2466476.332262493	1862419.577889601	1136546.2053881579	2.6343167146804303E7	2.087169793007676E7	8530922.08333172	247789.32715816674	32814.02273205839	142093.4522347564	177881.7511928418	149908.71916195037	7030369.06915037	58344.22542135323	22049.819502757764	8590.767811296146	4386.646782562362	98107.46688313263	17217.51172220148	43255.060808876166	4906.458621134962	1533.356270986694	2571.709527568572	1115.2897744111317	853.7239421342658	1301.4105901564678	NaN
0.01	7.996203748723864E13	438851.63084112154	142907.30757977892	447.79364243350403	1868.5108971300301	149.41741038859078	141.1218774452431	119.76436608059764	48.7537262538138	24.533301266333616	24.817867150945727	12.44811993575668	12.292142245333821	10.49827680172853	6.390292521418127	6.308124468250574	5.733069092470833	13.162923695910163	11.92613954152415	1.9994953114357508	4.185262112470113	3.6424177245557963	22.784618827786435	18.903850195212865	4.846027943315632	0.7943743966546398	0.7116978389830031	0.7208528206072726	0.6991207142059404	2.5127857830040554	1.990274682187346	3.171410221934312	1.9527286611422252	56.20066478345709	2.133848528456645	17.280547887500905	13.825786819240204	17.123193635552923	1.4595872358285435	267.3160712476968	NaN
0.99	Infinity	Infinity	Infinity	Infinity	2.309824942213978E9	1.2436935022818027E9	6.714801025408249E7	1.0154606872300152E7	1.812083177473233E7	3798602.3687268076	1059223.5355946	463155.4984688517	364223.6552618303	252229.80250222475	162951.17442614955	790211.468479399	639917.5563543376	288673.2680594531	1411154.0077049758	2.087169793007676E7	883515.3844315548	46449.91075256367	9938.346266968174	142093.4522347564	177881.7511928418	149908.71916195037	97933.8436239699	58344.22542135323	22049.819502757764	8590.767811296146	4386.646782562362	98107.46688313263	17217.51172220148	43255.060808876166	4906.458621134962	1533.356270986694	2571.709527568572	1115.2897744111317	853.7239421342658	1301.4105901564678	NaN
0.025	5.2838816674899488E17	1285063.2826086958	184133.005889111	17103.323650443548	11628.197867682675	4099.707725165257	2934.085420842101	998.0199687372365	107.34964684075722	75.6417689135611	69.31645009941485	21.166076399429592	31.688499726151537	28.572766980271766	16.409590492211986	18.98781668545344	12.619547426538045	33.53374052493988	12.11933866098828	7.915354462441749	9.921220116116531	5.404102500754635	26.33982233095162	19.46525769434059	5.504657644375569	2.6267470657597602	2.288748708159147	2.2577007908969127	2.706567381393848	15.466760842851695	12.764156546541592	58.39592351312193	15.7698111331694	97.56098947229253	168.9295927547346	59.07760392423424	82.1974495089825	17.123193635552923	1.4595872358285435	267.3160712476968	NaN
0.975	Infinity	Infinity	Infinity	1.543022354248799E12	8.77323887978258E8	1.3814868758676302E8	1.5525238739778984E7	5438048.37474141	4048480.116576812	1563740.5612326053	699582.7559725642	433498.9679019528	280557.856567097	154596.15490890254	107356.72191406805	106320.90279927025	58799.810461227265	48772.2370109932	41671.31162749441	102504.50782230242	67481.58783767138	28114.46834679927	9938.346266968174	14781.144297365807	96104.73031977682	149908.71916195037	97933.8436239699	8138.824339578865	5134.97257920707	8590.767811296146	4386.646782562362	98107.46688313263	16803.49121300717	43255.060808876166	3019.3300384581075	1169.069192279186	1521.4948607190117	1042.3177983751875	824.94512761694	1301.4105901564678	NaN
0.05	5.2838816674899488E17	1.3756375836976726E7	296437.66118421056	45030.538124993065	54642.213737882965	15278.319292880173	7401.9393844722035	5120.987853031397	741.2882648866503	519.1023638043358	110.95713324513028	64.68518823102005	63.82828487960356	273.72728953319375	55.317249684705494	58.305919362176006	36.52613284362336	36.54528191030523	30.71653374361479	160.42231470082436	28.2806844898044	5.650695898849092	27.33998386248615	98.71516355731303	100.24671760875034	86.32790385387675	4.158989829342295	148.10008470357343	14.55770454638214	30.203725262184985	39.00551680612268	70.91436953534276	39.79802055219361	295.1501474686457	370.64881973127507	165.52346613423592	178.00391952868864	57.27966774132965	7.202793198025324	276.7672791820234	NaN
0.95	Infinity	Infinity	Infinity	1.3713782957054792E10	3.177465492840676E8	5.868256064122295E7	8093434.977064772	3135540.306795307	2007380.6006578917	1105464.7411783864	490292.83628339076	366540.0066138623	178442.1710324817	103040.80011798623	86066.10949464291	63793.435412416016	47438.45468824798	32814.02273205839	29653.927146603215	55553.19736696153	20635.356127411374	14818.801464941744	9037.807980733623	14781.144297365807	7614.393550217759	73058.05631710906	58799.810461227265	5457.321701838816	4803.412395695407	8590.767811296146	3627.8437686557168	22761.816785435938	15127.966154308331	2766.173391819615	2497.3882217860187	1036.816444218876	1215.5164780936957	976.5137498485581	764.8256702840334	1065.4781172650896	NaN
0.1	Infinity	3.1590556386926547E7	1550924.2040732736	108440.04600566205	73301.97683516266	46090.07452393582	32002.935248034508	19516.269923213695	4813.993324875882	2817.639596331583	2621.474348993827	2023.27006763887	1020.4589439494168	1266.25823964382	332.9476416903939	830.0644312658038	210.94782059374762	197.86262405843124	211.217389658062	420.7984337540768	135.98653680601737	28.60444430315398	128.76793166956108	273.194975698117	289.986347460105	209.1298020691042	203.1141138856632	248.47981922363095	20.554136346729965	277.88599820582135	110.5287202586951	243.56927428563932	63.89947403406358	489.6091258327815	749.7973673553705	667.0663942136695	259.1332822436248	337.4302535675831	23.831441452961638	445.992468551454	NaN
0.9	Infinity	Infinity	3.8884912282884125E11	2.2027313816558447E9	1.2751157341381301E8	2.4573674439710867E7	2681030.1556296367	1467039.1974180848	2003303.4852253215	728345.301316376	351107.30277552485	232180.13953814798	131961.48803660614	80736.52681402306	66849.88620879377	47015.67465615358	34624.72585016418	28269.95359505777	22043.71412901589	20799.867901775346	18458.681904682253	10256.475573303615	8560.03610475438	8022.224856676291	7113.906768442909	6959.63285462016	5464.660479693465	3969.671343992077	2955.518438965718	3981.365187067291	2452.2181000876258	3203.2003561905326	2608.49098345149	1744.5899933363773	1273.518300487493	961.3244721421491	941.4650460758578	874.2428394365979	726.0398243412311	733.3159822472521	NaN
0.5	Infinity	5.731939124970856E13	3.2137684858009607E8	5919177.465714094	3081233.1811364302	1434455.6795852121	677825.7174105663	286256.86703060515	258424.96485405616	156574.4668396526	90218.93358634412	92239.59584440579	61354.721043659316	37097.254710302404	28155.562451733687	21112.658107908104	17294.345863917406	12719.36274889587	10298.43380570449	8794.566763117731	6981.630234753777	6298.341656982295	6151.969533855805	5499.079310042918	4396.938193519674	3292.2508363414454	2782.0996703954584	2626.915341230371	2213.201251223953	2043.5164752577575	1726.0407955765945	1569.2858013087282	1215.8319598090154	912.1592142459673	858.8428386901838	736.972868784202	668.508215612709	595.6852209181393	537.7478885003734	598.9593134020357	NaN
